N, s, D, AD
1249,49,25,16.6667
1249,51,25,16.6667
1250,49,25,16.6733
1250,51,25,16.6733
1250,99,25,16.6733
1250,101,25,16.6733
1250,149,25,16.6733
1250,151,25,16.6733
1250,199,25,16.6733
1250,201,25,16.6733
1250,299,25,16.6733
1250,301,25,16.6733
1250,349,25,16.6733
1250,351,25,16.6733
1250,399,25,16.6733
1250,401,25,16.6733
1250,449,25,16.6733
1250,451,25,16.6733
1250,549,25,16.6733
1250,551,25,16.6733
1250,574,25,16.6733
1250,599,25,16.6733
1250,601,25,16.6733
1251,49,25,16.68
1251,51,25,16.68
1251,434,25,16.68
1252,338,25,16.6867
1252,602,25,16.6867
1253,240,25,16.6933
1253,402,25,16.6933
1254,302,25,16.6999
1255,530,25,16.7065
1256,144,25,16.7131
1256,202,25,16.7131
1257,146,25,16.7197
1257,353,25,16.7197
1258,152,25,16.7263
1258,368,25,16.7263
1259,338,25,16.7329
1259,555,25,16.7329
1260,534,25,16.7395
1261,455,25,16.746
1262,102,25,16.7526
1262,264,25,16.7526
1263,100,25,16.7591
1263,341,25,16.7591
1264,244,25,16.7656
1264,454,25,16.7656
1265,145,25,16.7722
1266,556,25,16.7787
1267,151,25,16.7852
1267,537,25,16.7852
1268,354,25,16.7916
1268,438,25,16.7916
1269,202,25,16.7981
1269,245,25,16.7981
1270,54,25,16.8046
1271,304,25,16.811
1271,439,25,16.811
1272,48,25,16.8175
1272,406,25,16.8175
1273,48,25,16.8239
1273,610,25,16.8239
1274,52,25,16.8303
1275,50,25,16.8367
1275,52,25,16.8367
1275,101,25,16.8367
1275,103,25,16.8367
1275,152,25,16.8367
1275,154,25,16.8367
1275,203,25,16.8367
1275,205,25,16.8367
1275,305,25,16.8367
1275,307,25,16.8367
1275,356,25,16.8367
1275,358,25,16.8367
1275,407,25,16.8367
1275,409,25,16.8367
1275,458,25,16.8367
1275,460,25,16.8367
1275,560,25,16.8367
1275,562,25,16.8367
1275,611,25,16.8367
1275,613,25,16.8367
1276,50,25,16.8431
1277,443,25,16.8495
1277,614,25,16.8495
1278,410,25,16.8559
1279,245,25,16.8623
1279,308,25,16.8623
1281,206,25,16.875
1281,541,25,16.875
1282,360,25,16.8813
1283,149,25,16.8877
1283,155,25,16.8877
1284,566,25,16.894
1285,345,25,16.9003
1286,464,25,16.9066
1287,104,25,16.9129
1288,102,25,16.9192
1289,348,25,16.9255
1289,463,25,16.9255
1291,148,25,16.938
1291,567,25,16.938
1292,154,25,16.9442
1293,361,25,16.9505
1293,548,25,16.9505
1294,206,25,16.9567
1295,250,25,16.9629
1296,310,25,16.9691
1297,414,25,16.9753
1297,448,25,16.9753
1298,622,25,16.9815
1299,49,25,16.9877
1299,53,25,16.9877
1301,51,25,17.
1302,626,26,17.0069
1303,418,26,17.0138
1303,452,26,17.0138
1304,314,26,17.0207
1305,250,26,17.0276
1306,210,26,17.0345
1307,367,26,17.0413
1307,552,26,17.0413
1308,158,26,17.0482
1309,152,26,17.055
1309,577,26,17.055
1311,352,26,17.0687
1311,473,26,17.0687
1312,106,26,17.0755
1313,104,26,17.0823
1314,472,26,17.0891
1315,355,26,17.0959
1316,578,26,17.1027
1317,151,26,17.1094
1317,157,26,17.1094
1318,368,26,17.1162
1319,210,26,17.1229
1319,559,26,17.1229
1321,255,26,17.1364
1321,316,26,17.1364
1322,422,26,17.1431
1323,457,26,17.1498
1323,634,26,17.1498
1324,54,26,17.1565
1325,50,26,17.1631
1326,50,26,17.1698
1326,52,26,17.1698
1326,152,26,17.1698
1326,154,26,17.1698
1326,254,26,17.1698
1326,256,26,17.1698
1326,356,26,17.1698
1326,358,26,17.1698
1326,458,26,17.1698
1326,460,26,17.1698
1326,560,26,17.1698
1326,562,26,17.1698
1327,52,26,17.1765
1327,638,26,17.1765
1328,426,26,17.1831
1329,320,26,17.1898
1329,461,26,17.1898
1329,639,26,17.1898
1331,214,26,17.203
1331,255,26,17.203
1331,346,26,17.203
1331,427,26,17.203
1332,374,26,17.2096
1333,161,26,17.2162
1333,321,26,17.2162
1333,544,26,17.2162
1333,563,26,17.2162
1334,588,26,17.2228
1335,155,26,17.2294
1336,482,26,17.236
1337,108,26,17.2425
1337,199,26,17.2425
1337,215,26,17.2425
1337,359,26,17.2425
1338,106,26,17.2491
1339,376,26,17.2556
1339,481,26,17.2556
1339,495,26,17.2556
1341,162,26,17.2687
1341,362,26,17.2687
1341,589,26,17.2687
1342,160,26,17.2752
1343,154,26,17.2817
1343,375,26,17.2817
1343,397,26,17.2817
1343,592,26,17.2817
1344,214,26,17.2882
1345,250,26,17.2946
1345,570,26,17.2946
1346,322,26,17.3011
1347,260,26,17.3076
1347,430,26,17.3076
1347,486,26,17.3076
1348,646,26,17.314
1349,55,26,17.3205
1349,99,26,17.3205
1349,109,26,17.3205
1349,466,26,17.3205
1351,51,26,17.3333
1351,53,26,17.3333
1351,101,26,17.3333
1351,107,26,17.3333
1352,51,26,17.3397
1352,53,26,17.3397
1352,155,26,17.3397
1352,157,26,17.3397
1352,259,26,17.3397
1352,261,26,17.3397
1352,363,26,17.3397
1352,365,26,17.3397
1352,467,26,17.3397
1352,469,26,17.3397
1352,571,26,17.3397
1352,573,26,17.3397
1352,650,26,17.3397
1353,51,26,17.3462
1353,53,26,17.3462
1353,434,26,17.3462
1353,486,26,17.3462
1354,352,26,17.3525
1355,250,26,17.3589
1355,468,26,17.3589
1355,553,26,17.3589
1357,202,26,17.3717
1357,262,26,17.3717
1357,403,26,17.3717
1357,596,26,17.3717
1358,502,26,17.378
1359,162,26,17.3844
1359,576,26,17.3844
1360,402,26,17.3907
1361,156,26,17.3971
1361,253,26,17.3971
1361,380,26,17.3971
1361,505,26,17.3971
1363,100,26,17.4097
1363,201,26,17.4097
1363,217,26,17.4097
1363,368,26,17.4097
1364,102,26,17.416
1366,252,26,17.4286
1367,327,26,17.4348
1367,367,26,17.4348
1367,406,26,17.4348
1367,556,26,17.4348
1369,159,26,17.4474
1369,354,26,17.4474
1369,437,26,17.4474
1369,508,26,17.4474
1370,202,26,17.4536
1371,579,26,17.4599
1371,657,26,17.4599
1372,558,26,17.4661
1373,56,26,17.4723
1373,263,26,17.4723
1373,355,26,17.4723
1373,662,26,17.4723
1375,50,26,17.4847
1375,477,26,17.4847
1375,663,26,17.4847
1376,50,26,17.4909
1377,54,26,17.4971
1378,52,26,17.5033
1378,54,26,17.5033
1378,158,26,17.5033
1378,160,26,17.5033
1378,264,26,17.5033
1378,266,26,17.5033
1378,370,26,17.5033
1378,372,26,17.5033
1378,476,26,17.5033
1378,478,26,17.5033
1378,582,26,17.5033
1378,584,26,17.5033
1379,52,26,17.5094
1379,663,26,17.5094
1381,359,26,17.5217
1381,477,26,17.5217
1382,564,26,17.5279
1383,267,26,17.534
1384,206,26,17.5401
1385,512,26,17.5462
1385,587,26,17.5462
1387,159,26,17.5584
1387,410,26,17.5584
1388,258,26,17.5645
1389,375,26,17.5706
1390,102,26,17.5767
1391,104,26,17.5827
1393,257,26,17.5948
1393,374,26,17.5948
1394,414,26,17.6009
1395,162,26,17.6069
1396,518,26,17.6129
1397,206,26,17.6189
1397,590,26,17.6189
1399,268,26,17.6309
1399,569,26,17.6309
1400,362,26,17.6369
1401,486,26,17.6429
1402,676,26,17.6488
1403,51,26,17.6548
1403,55,26,17.6548
1405,53,26,17.6667
1406,676,27,17.6733
1407,486,27,17.6799
1408,366,27,17.6866
1409,272,27,17.6932
1409,452,27,17.6932
1409,575,27,17.6932
1411,210,27,17.7064
1411,598,27,17.7064
1412,522,27,17.713
1413,162,27,17.7195
1414,418,27,17.7261
1415,263,27,17.7327
1415,382,27,17.7327
1417,104,27,17.7458
1418,106,27,17.7523
1419,381,27,17.7588
1420,262,27,17.7653
1421,165,27,17.7718
1421,422,27,17.7718
1423,528,27,17.7848
1423,601,27,17.7848
1424,210,27,17.7913
1425,273,27,17.7978
1426,580,27,17.8042
1427,369,27,17.8107
1427,495,27,17.8107
1429,56,27,17.8235
1429,689,27,17.8235
1430,52,27,17.83
1431,52,27,17.8364
1431,54,27,17.8364
1431,105,27,17.8364
1431,107,27,17.8364
1431,211,27,17.8364
1431,213,27,17.8364
1431,264,27,17.8364
1431,266,27,17.8364
1431,370,27,17.8364
1431,372,27,17.8364
1431,423,27,17.8364
1431,425,27,17.8364
1431,529,27,17.8364
1431,531,27,17.8364
1431,582,27,17.8364
1431,584,27,17.8364
1431,688,27,17.8364
1431,690,27,17.8364
1432,54,27,17.8428
1433,495,27,17.8492
1433,689,27,17.8492
1434,460,27,17.8555
1435,277,27,17.8619
1435,373,27,17.8619
1436,496,27,17.8683
1436,586,27,17.8683
1437,609,27,17.8747
1438,214,27,17.881
1438,564,27,17.881
1439,165,27,17.8873
1439,532,27,17.8873
1440,278,27,17.8937
1441,389,27,17.9
1441,426,27,17.9
1442,268,27,17.9063
1444,106,27,17.9189
1444,612,27,17.9189
1445,108,27,17.9252
1445,388,27,17.9252
1446,154,27,17.9315
1447,168,27,17.9378
1447,267,27,17.9378
1448,166,27,17.944
1448,430,27,17.944
1449,612,27,17.9503
1450,258,27,17.9565
1450,538,27,17.9565
1451,214,27,17.9628
1451,278,27,17.9628
1452,392,27,17.969
1453,504,27,17.9752
1453,591,27,17.9752
1454,376,27,17.9814
1454,676,27,17.9814
1455,57,27,17.9876
1456,702,27,17.9938
1457,53,27,18.
1457,55,27,18.
1458,53,27,18.0062
1458,55,27,18.0062
1458,107,27,18.0062
1458,109,27,18.0062
1458,215,27,18.0062
1458,217,27,18.0062
1458,269,27,18.0062
1458,271,27,18.0062
1458,377,27,18.0062
1458,379,27,18.0062
1458,431,27,18.0062
1458,433,27,18.0062
1458,539,27,18.0062
1458,541,27,18.0062
1458,593,27,18.0062
1458,595,27,18.0062
1458,676,27,18.0062
1458,701,27,18.0062
1458,703,27,18.0062
1459,53,27,18.0123
1459,55,27,18.0123
1459,468,27,18.0123
1459,504,27,18.0123
1460,392,27,18.0185
1460,704,27,18.0185
1461,573,27,18.0247
1462,262,27,18.0308
1462,378,27,18.0308
1463,595,27,18.0369
1464,170,27,18.0431
1465,156,27,18.0492
1465,216,27,18.0492
1466,158,27,18.0553
1466,544,27,18.0553
1467,261,27,18.0614
1468,436,27,18.0675
1468,620,27,18.0675
1469,271,27,18.0736
1469,683,27,18.0736
1471,110,27,18.0857
1471,682,27,18.0857
1472,108,27,18.0918
1472,282,27,18.0918
1473,264,27,18.0978
1474,274,27,18.1039
1474,580,27,18.1039
1475,159,27,18.1099
1475,436,27,18.1099
1476,512,27,18.1159
1477,546,27,18.122
1478,220,27,18.128
1478,476,27,18.128
1479,582,27,18.134
1480,58,27,18.14
1480,604,27,18.14
1481,385,27,18.1459
1481,477,27,18.1459
1482,52,27,18.1519
1483,52,27,18.1579
1483,713,27,18.1579
1484,56,27,18.1639
1485,54,27,18.1698
1485,56,27,18.1698
1485,109,27,18.1698
1485,111,27,18.1698
1485,219,27,18.1698
1485,221,27,18.1698
1485,274,27,18.1698
1485,276,27,18.1698
1485,384,27,18.1698
1485,386,27,18.1698
1485,439,27,18.1698
1485,441,27,18.1698
1485,549,27,18.1698
1485,551,27,18.1698
1485,604,27,18.1698
1485,606,27,18.1698
1485,714,27,18.1698
1485,716,27,18.1698
1486,54,27,18.1758
1487,477,27,18.1817
1487,717,27,18.1817
1489,385,27,18.1935
1489,584,27,18.1935
1490,606,27,18.1995
1492,220,27,18.2113
1493,159,27,18.2172
1493,554,27,18.2172
1495,266,27,18.2289
1495,444,27,18.2289
1496,276,27,18.2348
1497,696,27,18.2406
1498,112,27,18.2465
1499,110,27,18.2523
1499,695,27,18.2523
1501,269,27,18.264
1501,279,27,18.264
1502,444,27,18.2698
1503,162,27,18.2756
1504,556,27,18.2814
1505,224,27,18.2872
1507,593,27,18.2988
1507,615,27,18.2988
1508,392,27,18.3046
1509,486,27,18.3103
1510,726,27,18.3161
1511,53,27,18.3219
1511,57,27,18.3219
1513,55,27,18.3333
1514,730,28,18.3397
1515,486,28,18.3461
1516,392,28,18.3525
1517,524,28,18.3588
1517,595,28,18.3588
1517,617,28,18.3588
1519,224,28,18.3715
1520,564,28,18.3779
1521,162,28,18.3842
1522,452,28,18.3905
1523,271,28,18.3968
1523,281,28,18.3968
1525,114,28,18.4094
1525,709,28,18.4094
1526,112,28,18.4157
1527,708,28,18.422
1528,284,28,18.4283
1529,274,28,18.4346
1529,452,28,18.4346
1531,165,28,18.4471
1531,566,28,18.4471
1532,228,28,18.4533
1534,626,28,18.4658
1535,399,28,18.472
1535,604,28,18.472
1537,495,28,18.4844
1537,739,28,18.4844
1538,58,28,18.4906
1539,54,28,18.4967
1540,54,28,18.5029
1540,56,28,18.5029
1540,164,28,18.5029
1540,166,28,18.5029
1540,274,28,18.5029
1540,276,28,18.5029
1540,494,28,18.5029
1540,496,28,18.5029
1540,604,28,18.5029
1540,606,28,18.5029
1540,714,28,18.5029
1540,716,28,18.5029
1541,56,28,18.5091
1541,743,28,18.5091
1543,399,28,18.5214
1543,495,28,18.5214
1543,533,28,18.5214
1543,744,28,18.5214
1544,628,28,18.5275
1545,372,28,18.5337
1545,606,28,18.5337
1546,228,28,18.5398
1547,321,28,18.5459
1547,400,28,18.5459
1547,574,28,18.5459
1549,165,28,18.5581
1549,268,28,18.5581
1549,460,28,18.5581
1549,630,28,18.5581
1550,286,28,18.5642
1551,213,28,18.5703
1551,276,28,18.5703
1552,116,28,18.5764
1553,114,28,18.5825
1553,229,28,18.5825
1553,590,28,18.5825
1553,722,28,18.5825
1555,289,28,18.5946
1555,577,28,18.5946
1555,698,28,18.5946
1555,721,28,18.5946
1556,460,28,18.6006
1557,162,28,18.6067
1557,279,28,18.6067
1558,576,28,18.6127
1559,168,28,18.6187
1559,232,28,18.6187
1559,431,28,18.6187
1559,463,28,18.6187
1561,288,28,18.6308
1561,637,28,18.6308
1561,645,28,18.6308
1562,406,28,18.6368
1563,486,28,18.6428
1563,615,28,18.6428
1564,752,28,18.6488
1565,59,28,18.6547
1565,107,28,18.6547
1565,117,28,18.6547
1565,504,28,18.6547
1567,55,28,18.6667
1567,57,28,18.6667
1567,109,28,18.6667
1567,115,28,18.6667
1568,55,28,18.6726
1568,57,28,18.6726
1568,167,28,18.6726
1568,169,28,18.6726
1568,279,28,18.6726
1568,281,28,18.6726
1568,503,28,18.6726
1568,505,28,18.6726
1568,615,28,18.6726
1568,617,28,18.6726
1568,727,28,18.6726
1568,729,28,18.6726
1568,756,28,18.6726
1569,55,28,18.6786
1569,57,28,18.6786
1569,486,28,18.6786
1569,542,28,18.6786
1570,378,28,18.6845
1571,292,28,18.6904
1571,326,28,18.6904
1571,506,28,18.6904
1571,651,28,18.6904
1572,272,28,18.6964
1573,216,28,18.7023
1573,433,28,18.7023
1573,465,28,18.7023
1573,619,28,18.7023
1574,598,28,18.7082
1575,162,28,18.7141
1575,707,28,18.7141
1576,164,28,18.72
1577,170,28,18.7259
1577,436,28,18.7259
1577,583,28,18.7259
1577,706,28,18.7259
1578,652,28,18.7318
1579,235,28,18.7376
1579,283,28,18.7376
1579,491,28,18.7376
1579,598,28,18.7376
1580,108,28,18.7435
1581,110,28,18.7494
1581,219,28,18.7494
1581,733,28,18.7494
1582,490,28,18.7552
1583,272,28,18.7611
1583,646,28,18.7611
1583,656,28,18.7611
1583,736,28,18.7611
1584,436,28,18.7669
1585,163,28,18.7727
1585,282,28,18.7727
1585,327,28,18.7727
1585,412,28,18.7727
1586,710,28,18.7785
1587,169,28,18.7844
1587,384,28,18.7844
1587,601,28,18.7844
1588,220,28,18.7902
1589,273,28,18.796
1589,547,28,18.796
1589,764,28,18.796
1590,328,28,18.8018
1591,60,28,18.8075
1591,385,28,18.8075
1591,624,28,18.8075
1591,769,28,18.8075
1592,548,28,18.8133
1593,54,28,18.8191
1593,511,28,18.8191
1593,770,28,18.8191
1594,54,28,18.8249
1595,58,28,18.8306
1596,56,28,18.8364
1596,58,28,18.8364
1596,170,28,18.8364
1596,172,28,18.8364
1596,284,28,18.8364
1596,286,28,18.8364
1596,512,28,18.8364
1596,514,28,18.8364
1596,626,28,18.8364
1596,628,28,18.8364
1596,740,28,18.8364
1596,742,28,18.8364
1597,56,28,18.8421
1597,770,28,18.8421
1598,552,28,18.8478
1599,385,28,18.8536
1599,515,28,18.8536
1600,332,28,18.8593
1601,277,28,18.865
1601,630,28,18.865
1602,220,28,18.8707
1603,609,28,18.8764
1604,720,28,18.8821
1605,167,28,18.8878
1605,173,28,18.8878
1606,444,28,18.8935
1607,288,28,18.8991
1607,664,28,18.8991
1608,500,28,18.9048
1609,110,28,18.9104
1609,746,28,18.9104
1610,112,28,18.9161
1611,499,28,18.9217
1611,749,28,18.9217
1612,668,28,18.9274
1613,287,28,18.933
1613,444,28,18.933
1614,166,28,18.9386
1615,172,28,18.9442
1615,723,28,18.9442
1616,612,28,18.9498
1617,224,28,18.9554
1618,278,28,18.961
1619,334,28,18.9666
1619,635,28,18.9666
1620,392,28,18.9722
1621,520,28,18.9778
1621,558,28,18.9778
1622,784,28,18.9833
1623,55,28,18.9889
1623,59,28,18.9889
1625,57,28,19.
1626,784,29,19.0062
1627,524,29,19.0123
1627,562,29,19.0123
1628,392,29,19.0184
1629,338,29,19.0246
1629,641,29,19.0246
1630,282,29,19.0307
1631,224,29,19.0368
1632,620,29,19.0429
1633,176,29,19.049
1633,733,29,19.049
1634,170,29,19.0551
1635,293,29,19.0612
1635,452,29,19.0612
1636,676,29,19.0673
1637,509,29,19.0733
1637,759,29,19.0733
1638,112,29,19.0794
1639,114,29,19.0855
1639,762,29,19.0855
1640,508,29,19.0915
1641,292,29,19.0976
1641,680,29,19.0976
1642,452,29,19.1036
1643,169,29,19.1096
1643,175,29,19.1096
1644,736,29,19.1156
1645,623,29,19.1217
1646,228,29,19.1277
1647,283,29,19.1337
1647,646,29,19.1337
1648,340,29,19.1396
1649,399,29,19.1456
1649,529,29,19.1456
1650,568,29,19.1516
1651,60,29,19.1576
1651,798,29,19.1576
1652,56,29,19.1635
1653,56,29,19.1695
1653,58,29,19.1695
1653,113,29,19.1695
1653,115,29,19.1695
1653,170,29,19.1695
1653,172,29,19.1695
1653,227,29,19.1695
1653,229,29,19.1695
1653,284,29,19.1695
1653,286,29,19.1695
1653,341,29,19.1695
1653,343,29,19.1695
1653,398,29,19.1695
1653,400,29,19.1695
1653,455,29,19.1695
1653,457,29,19.1695
1653,512,29,19.1695
1653,514,29,19.1695
1653,569,29,19.1695
1653,571,29,19.1695
1653,626,29,19.1695
1653,628,29,19.1695
1653,683,29,19.1695
1653,685,29,19.1695
1653,740,29,19.1695
1653,742,29,19.1695
1653,797,29,19.1695
1653,799,29,19.1695
1654,58,29,19.1754
1655,533,29,19.1814
1655,798,29,19.1814
1656,572,29,19.1873
1657,399,29,19.1932
1657,652,29,19.1932
1658,344,29,19.1992
1658,534,29,19.1992
1659,287,29,19.2051
1660,228,29,19.211
1661,179,29,19.2169
1661,631,29,19.2169
1662,654,29,19.2228
1662,746,29,19.2228
1663,173,29,19.2286
1663,298,29,19.2286
1664,460,29,19.2345
1664,722,29,19.2345
1665,688,29,19.2404
1665,772,29,19.2404
1666,518,29,19.2462
1667,114,29,19.2521
1667,775,29,19.2521
1668,116,29,19.2579
1669,297,29,19.2638
1669,517,29,19.2638
1670,180,29,19.2696
1670,692,29,19.2696
1671,178,29,19.2754
1671,460,29,19.2754
1672,172,29,19.2813
1672,614,29,19.2813
1673,749,29,19.2871
1674,300,29,19.2929
1674,634,29,19.2929
1675,232,29,19.2987
1675,657,29,19.2987
1676,288,29,19.3045
1676,392,29,19.3045
1677,346,29,19.3103
1677,538,29,19.3103
1678,406,29,19.316
1678,778,29,19.316
1679,61,29,19.3218
1679,578,29,19.3218
1680,812,29,19.3276
1681,57,29,19.3333
1681,59,29,19.3333
1682,57,29,19.3391
1682,59,29,19.3391
1682,115,29,19.3391
1682,117,29,19.3391
1682,173,29,19.3391
1682,175,29,19.3391
1682,231,29,19.3391
1682,233,29,19.3391
1682,289,29,19.3391
1682,291,29,19.3391
1682,347,29,19.3391
1682,349,29,19.3391
1682,405,29,19.3391
1682,407,29,19.3391
1682,463,29,19.3391
1682,465,29,19.3391
1682,521,29,19.3391
1682,523,29,19.3391
1682,579,29,19.3391
1682,581,29,19.3391
1682,637,29,19.3391
1682,639,29,19.3391
1682,695,29,19.3391
1682,697,29,19.3391
1682,753,29,19.3391
1682,755,29,19.3391
1682,782,29,19.3391
1682,811,29,19.3391
1682,813,29,19.3391
1683,57,29,19.3448
1683,59,29,19.3448
1683,542,29,19.3448
1684,392,29,19.3506
1684,814,29,19.3506
1685,580,29,19.3563
1686,300,29,19.362
1686,408,29,19.362
1687,348,29,19.3677
1687,732,29,19.3677
1688,290,29,19.3734
1688,618,29,19.3734
1689,234,29,19.3791
1690,180,29,19.3848
1690,640,29,19.3848
1691,621,29,19.3905
1691,757,29,19.3905
1692,174,29,19.3962
1693,396,29,19.4019
1693,466,29,19.4019
1694,702,29,19.4076
1695,525,29,19.4132
1696,118,29,19.4189
1696,734,29,19.4189
1697,116,29,19.4245
1697,395,29,19.4245
1698,528,29,19.4302
1698,666,29,19.4302
1699,622,29,19.4358
1699,702,29,19.4358
1700,470,29,19.4414
1701,177,29,19.4471
1702,546,29,19.4527
1702,764,29,19.4527
1703,647,29,19.4583
1703,737,29,19.4583
1704,234,29,19.4639
1705,295,29,19.4695
1706,62,29,19.4751
1706,354,29,19.4751
1707,411,29,19.4807
1708,56,29,19.4862
1708,590,29,19.4862
1709,56,29,19.4918
1709,824,29,19.4918
1710,60,29,19.4974
1711,58,29,19.5029
1711,60,29,19.5029
1711,117,29,19.5029
1711,119,29,19.5029
1711,176,29,19.5029
1711,178,29,19.5029
1711,235,29,19.5029
1711,237,29,19.5029
1711,294,29,19.5029
1711,296,29,19.5029
1711,353,29,19.5029
1711,355,29,19.5029
1711,412,29,19.5029
1711,414,29,19.5029
1711,471,29,19.5029
1711,473,29,19.5029
1711,530,29,19.5029
1711,532,29,19.5029
1711,589,29,19.5029
1711,591,29,19.5029
1711,648,29,19.5029
1711,650,29,19.5029
1711,707,29,19.5029
1711,709,29,19.5029
1711,766,29,19.5029
1711,768,29,19.5029
1711,825,29,19.5029
1711,827,29,19.5029
1712,58,29,19.5085
1713,828,29,19.514
1714,590,29,19.5196
1715,415,29,19.5251
1716,354,29,19.5306
1717,295,29,19.5361
1717,745,29,19.5361
1718,238,29,19.5416
1719,651,29,19.5471
1720,770,29,19.5526
1721,177,29,19.5581
1721,632,29,19.5581
1722,474,29,19.5636
1723,403,29,19.5691
1723,714,29,19.5691
1724,534,29,19.5746
1725,120,29,19.58
1726,118,29,19.5855
1727,402,29,19.591
1727,537,29,19.591
1728,714,29,19.5964
1729,478,29,19.6019
1729,633,29,19.6019
1730,180,29,19.6073
1731,777,29,19.6127
1732,658,29,19.6181
1733,238,29,19.6236
1733,750,29,19.6236
1734,300,29,19.629
1735,360,29,19.6344
1736,418,29,19.6398
1737,600,29,19.6452
1738,838,29,19.6505
1739,57,29,19.6559
1739,61,29,19.6559
1741,59,29,19.6667
1742,842,30,19.6726
1743,600,30,19.6785
1744,422,30,19.6845
1745,360,30,19.6904
1745,562,30,19.6904
1746,300,30,19.6963
1747,242,30,19.7022
1747,758,30,19.7022
1748,662,30,19.7081
1749,783,30,19.714
1750,180,30,19.7198
1751,482,30,19.7257
1751,643,30,19.7257
1752,726,30,19.7316
1753,410,30,19.7374
1753,543,30,19.7374
1754,122,30,19.7433
1755,120,30,19.7491
1756,546,30,19.755
1757,409,30,19.7608
1757,726,30,19.7608
1758,486,30,19.7666
1759,183,30,19.7725
1759,644,30,19.7725
1760,790,30,19.7783
1761,669,30,19.7841
1762,242,30,19.7899
1763,305,30,19.7957
1763,763,30,19.7957
1764,366,30,19.8015
1765,425,30,19.8073
1766,610,30,19.813
1767,852,30,19.8188
1768,62,30,19.8246
1769,58,30,19.8303
1770,58,30,19.8361
1770,60,30,19.8361
1770,412,30,19.8361
1770,414,30,19.8361
1770,648,30,19.8361
1770,650,30,19.8361
1770,766,30,19.8361
1770,768,30,19.8361
1771,60,30,19.8418
1771,856,30,19.8418
1772,610,30,19.8475
1773,429,30,19.8533
1773,571,30,19.8533
1773,857,30,19.8533
1774,366,30,19.859
1775,305,30,19.8647
1775,459,30,19.8647
1775,611,30,19.8647
1776,246,30,19.8704
1777,343,30,19.8761
1777,430,30,19.8761
1777,673,30,19.8761
1777,771,30,19.8761
1778,796,30,19.8818
1779,183,30,19.8875
1779,286,30,19.8875
1779,367,30,19.8875
1780,490,30,19.8932
1781,306,30,19.8989
1781,518,30,19.8989
1781,654,30,19.8989
1781,738,30,19.8989
1782,552,30,19.9045
1783,124,30,19.9102
1783,231,30,19.9102
1783,247,30,19.9102
1783,417,30,19.9102
1784,122,30,19.9159
1785,404,30,19.9215
1785,555,30,19.9215
1785,676,30,19.9215
1786,738,30,19.9272
1787,172,30,19.9328
1787,416,30,19.9328
1787,494,30,19.9328
1787,800,30,19.9328
1788,186,30,19.9384
1789,184,30,19.9441
1789,655,30,19.9441
1789,803,30,19.9441
1789,807,30,19.9441
1790,680,30,19.9497
1791,246,30,19.9553
1791,493,30,19.9553
1791,752,30,19.9553
1792,310,30,19.9609
1793,372,30,19.9665
1793,695,30,19.9665
1793,743,30,19.9665
1793,776,30,19.9665
1794,432,30,19.9721
1795,556,30,19.9777
1795,620,30,19.9777
1795,636,30,19.9777
1796,866,30,19.9833
1797,63,30,19.9889
1797,115,30,19.9889
1797,125,30,19.9889
1799,59,30,20.
1799,61,30,20.
1799,117,30,20.
1799,123,30,20.
1800,59,30,20.0056
1800,61,30,20.0056
1800,419,30,20.0056
1800,421,30,20.0056
1800,659,30,20.0056
1800,661,30,20.0056
1800,779,30,20.0056
1800,781,30,20.0056
1800,870,30,20.0056
1801,59,30,20.0111
1801,61,30,20.0111
1801,560,30,20.0111
1801,580,30,20.0111
1801,620,30,20.0111
1801,640,30,20.0111
1802,466,30,20.0167
1803,348,30,20.0222
1803,697,30,20.0222
