"dm, P, ""N(d), s(d)"""
"11,5,""{-d + 2*d^2, 6/5 - (3*d)/5 + (2*d^2)/5}"""
"11,5,""{-d + 2*d^2, 2/5 - (16*d)/5 + (4*d^2)/5}"""
"11,5,""{-d + 2*d^2, 12/5 - (16*d)/5 + (4*d^2)/5}"""
"11,5,""{-d + 2*d^2, -8/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{-d + 2*d^2, 2/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{5 - d + 2*d^2, 1/5 - (3*d)/5 + (2*d^2)/5}"""
"11,5,""{7 - d + 2*d^2, 16/5 + (4*d^2)/5}"""
"11,5,""{-11 + d + 2*d^2, -28/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{-6 + d + 2*d^2, -18/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{-5 + d + 2*d^2, -11/5 - d/5 + (2*d^2)/5}"""
"11,5,""{d + 2*d^2, -6/5 - d/5 + (2*d^2)/5}"""
"11,5,""{d + 2*d^2, 4/5 - d/5 + (2*d^2)/5}"""
"11,5,""{d + 2*d^2, -12/5 - (12*d)/5 + (4*d^2)/5}"""
"11,5,""{d + 2*d^2, -2/5 - (12*d)/5 + (4*d^2)/5}"""
"11,5,""{d + 2*d^2, -2/5 + (8*d)/5 + (4*d^2)/5}"""
"11,5,""{4 + d + 2*d^2, 12/5 + (4*d)/5 + (4*d^2)/5}"""
"11,5,""{5 + d + 2*d^2, 9/5 - d/5 + (2*d^2)/5}"""
"11,5,""{-5 + 2*d + 2*d^2, -12/5 + (2*d^2)/5}"""
"11,5,""{-5 + 2*d + 2*d^2, -3 + (6*d)/5 + (4*d^2)/5}"""
"12,5,""{2*d^2, -1 + (26*d)/5 + (2*d^2)/5}"""
"12,5,""{2*d^2, 1 + (26*d)/5 + (2*d^2)/5}"""
"12,5,""{2*d^2, -1 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{2*d^2, 1 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{-7 + 2*d^2, -14/5 - (2*d)/5 + (2*d^2)/5}"""
"12,5,""{-5 + 2*d^2, -3 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{3 + 2*d^2, 3/5 - (2*d)/5 + (4*d^2)/5}"""
"12,5,""{5 + 2*d^2, 1 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{5 - 2*d + 2*d^2, 2 - (4*d)/5 + (2*d^2)/5}"""
"12,5,""{5 - 2*d + 2*d^2, 13/5 - (2*d)/5 + (4*d^2)/5}"""
"12,5,""{-6 - d + 2*d^2, -12/5 - (3*d)/5 + (2*d^2)/5}"""
"12,5,""{-5 - d + 2*d^2, -16/5 + (4*d^2)/5}"""
"12,5,""{-d + 2*d^2, -8/5 + 5*d + (2*d^2)/5}"""
"12,5,""{-d + 2*d^2, 4/5 + (4*d^2)/5}"""
"12,5,""{4 - d + 2*d^2, 8/5 - (3*d)/5 + (2*d^2)/5}"""
"12,5,""{5 - d + 2*d^2, 14/5 + (4*d^2)/5}"""
"12,5,""{9 - d + 2*d^2, 13/5 - (3*d)/5 + (2*d^2)/5}"""
"12,5,""{-13 + d + 2*d^2, -21/5 - d/5 + (2*d^2)/5}"""
"12,5,""{-11 + d + 2*d^2, -16/5 + (4*d^2)/5}"""
"12,5,""{-6 + d + 2*d^2, -6/5 + (4*d^2)/5}"""
"12,5,""{d + 2*d^2, 8/5 + (27*d)/5 + (2*d^2)/5}"""
"12,5,""{d + 2*d^2, 18/5 + (27*d)/5 + (2*d^2)/5}"""
"12,5,""{d + 2*d^2, -4/5 + (4*d)/5 + (4*d^2)/5}"""
"12,5,""{d + 2*d^2, 6/5 + (4*d)/5 + (4*d^2)/5}"""
"12,5,""{5 + d + 2*d^2, 6/5 + (4*d)/5 + (4*d^2)/5}"""
"12,5,""{-5 + 2*d + 2*d^2, -1 + (2*d)/5 + (4*d^2)/5}"""
"12,5,""{-5 + 2*d + 2*d^2, -3/5 + (6*d)/5 + (4*d^2)/5}"""
"13,5,""{2*d^2, -1 + (34*d)/5 + (2*d^2)/5}"""
"13,5,""{2*d^2, 1 + (34*d)/5 + (2*d^2)/5}"""
"13,5,""{2*d^2, -1 - (2*d)/5 + (4*d^2)/5}"""
"13,5,""{2*d^2, 1 - (2*d)/5 + (4*d^2)/5}"""
"13,5,""{-7 + 2*d^2, -7/5 + (2*d)/5 + (4*d^2)/5}"""
"13,5,""{-5 + 2*d^2, -1 - (2*d)/5 + (4*d^2)/5}"""
"13,5,""{3 + 2*d^2, 6/5 + (2*d)/5 + (2*d^2)/5}"""
"13,5,""{5 + 2*d^2, 3 - (2*d)/5 + (4*d^2)/5}"""
"13,5,""{5 - 2*d + 2*d^2, 7/5 - (6*d)/5 + (4*d^2)/5}"""
"13,5,""{5 - 2*d + 2*d^2, 1 - (2*d)/5 + (4*d^2)/5}"""
"13,5,""{-5 - d + 2*d^2, -4/5 - (4*d)/5 + (4*d^2)/5}"""
"13,5,""{-d + 2*d^2, -12/5 + (33*d)/5 + (2*d^2)/5}"""
"13,5,""{-d + 2*d^2, -4/5 - (4*d)/5 + (4*d^2)/5}"""
"13,5,""{-d + 2*d^2, 6/5 - (4*d)/5 + (4*d^2)/5}"""
"13,5,""{4 - d + 2*d^2, 4/5 + (4*d^2)/5}"""
"13,5,""{7 - d + 2*d^2, 9/5 + d/5 + (2*d^2)/5}"""
"13,5,""{9 - d + 2*d^2, 14/5 + (4*d^2)/5}"""
"13,5,""{-6 + d + 2*d^2, -12/5 + (3*d)/5 + (2*d^2)/5}"""
"13,5,""{-5 + d + 2*d^2, -16/5 + (4*d^2)/5}"""
"13,5,""{d + 2*d^2, 12/5 + 7*d + (2*d^2)/5}"""
"13,5,""{d + 2*d^2, -6/5 + (4*d^2)/5}"""
"13,5,""{d + 2*d^2, 4/5 + (4*d^2)/5}"""
"13,5,""{4 + d + 2*d^2, 8/5 + (3*d)/5 + (2*d^2)/5}"""
"13,5,""{5 + d + 2*d^2, 14/5 + (4*d^2)/5}"""
"13,5,""{-5 + 2*d + 2*d^2, -2 + (4*d)/5 + (2*d^2)/5}"""
"13,5,""{-5 + 2*d + 2*d^2, -17/5 + (2*d)/5 + (4*d^2)/5}"""
"14,5,""{2*d^2, -1 + (2*d)/5 + (2*d^2)/5}"""
"14,5,""{2*d^2, 1 + (2*d)/5 + (2*d^2)/5}"""
"14,5,""{2*d^2, -1 - (6*d)/5 + (4*d^2)/5}"""
"14,5,""{2*d^2, 1 - (6*d)/5 + (4*d^2)/5}"""
"14,5,""{2*d^2, -1 - (34*d)/5 + (6*d^2)/5}"""
"14,5,""{2*d^2, 1 - (34*d)/5 + (6*d^2)/5}"""
"14,5,""{-7 + 2*d^2, -21/5 - (2*d)/5 + (4*d^2)/5}"""
"14,5,""{-5 + 2*d^2, -2 + (2*d)/5 + (2*d^2)/5}"""
"14,5,""{5 + 2*d^2, (2*d)/5 + (2*d^2)/5}"""
"14,5,""{5 - 2*d + 2*d^2, 8/5 + (2*d^2)/5}"""
"14,5,""{5 - 2*d + 2*d^2, 3 - (6*d)/5 + (4*d^2)/5}"""
"14,5,""{-6 - d + 2*d^2, -18/5 - (4*d)/5 + (4*d^2)/5}"""
"14,5,""{-5 - d + 2*d^2, -11/5 + d/5 + (2*d^2)/5}"""
"14,5,""{-d + 2*d^2, -6/5 + d/5 + (2*d^2)/5}"""
"14,5,""{-d + 2*d^2, 4/5 + d/5 + (2*d^2)/5}"""
"14,5,""{-d + 2*d^2, -2/5 - (8*d)/5 + (4*d^2)/5}"""
"14,5,""{-d + 2*d^2, 8/5 - (8*d)/5 + (4*d^2)/5}"""
"14,5,""{-d + 2*d^2, 12/5 - (37*d)/5 + (6*d^2)/5}"""
"14,5,""{-d + 2*d^2, 22/5 - (37*d)/5 + (6*d^2)/5}"""
"14,5,""{4 - d + 2*d^2, 12/5 - (4*d)/5 + (4*d^2)/5}"""
"14,5,""{5 - d + 2*d^2, 9/5 + d/5 + (2*d^2)/5}"""
"14,5,""{9 - d + 2*d^2, 22/5 - (4*d)/5 + (4*d^2)/5}"""
"14,5,""{-13 + d + 2*d^2, -34/5 + (4*d^2)/5}"""
"14,5,""{-5 + d + 2*d^2, 1/5 + (3*d)/5 + (2*d^2)/5}"""
"14,5,""{d + 2*d^2, -4/5 + (3*d)/5 + (2*d^2)/5}"""
"14,5,""{d + 2*d^2, 6/5 + (3*d)/5 + (2*d^2)/5}"""
"14,5,""{d + 2*d^2, -8/5 - (4*d)/5 + (4*d^2)/5}"""
"14,5,""{d + 2*d^2, 2/5 - (4*d)/5 + (4*d^2)/5}"""
"14,5,""{d + 2*d^2, -22/5 - (31*d)/5 + (6*d^2)/5}"""
"14,5,""{d + 2*d^2, -12/5 - (31*d)/5 + (6*d^2)/5}"""
"14,5,""{5 + d + 2*d^2, 1/5 + (3*d)/5 + (2*d^2)/5}"""
"12,1,""{2*d^2, -1 + 2*d}"""
"12,1,""{2*d^2, 1 + 2*d}"""
"12,1,""{-3 + 2*d^2, 3 + 2*d}"""
"12,1,""{-1 + 2*d^2, -1 + 2*d}"""
"12,1,""{-1 + 2*d^2, 1 + 2*d}"""
"12,1,""{1 + 2*d^2, -1 + 2*d}"""
"12,1,""{1 + 2*d^2, 1 + 2*d}"""
"12,1,""{-2 - d + 2*d^2, 2 + 2*d}"""
"12,1,""{-1 - d + 2*d^2, -2 + 2*d}"""
"12,1,""{-d + 2*d^2, 2*d}"""
"12,1,""{-d + 2*d^2, -2 + 2*d}"""
"12,1,""{1 - d + 2*d^2, 2*d}"""
"12,1,""{-5 + d + 2*d^2, 4 + 2*d}"""
"12,1,""{-3 + d + 2*d^2, -2 + 2*d}"""
"12,1,""{-2 + d + 2*d^2, -2 + 2*d}"""
"12,1,""{-1 + d + 2*d^2, 2 + 2*d}"""
"12,1,""{d + 2*d^2, 2*d}"""
"12,1,""{d + 2*d^2, 2 + 2*d}"""
"12,1,""{1 + d + 2*d^2, 2*d}"""
"12,1,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"12,1,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"12,1,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"6,2,""{2*d^2, -1 + 2*d}"""
"6,2,""{2*d^2, 1 + 2*d}"""
"6,2,""{-3 + 2*d^2, 3 + 2*d}"""
"6,2,""{-3 + 2*d^2, -5 + 4*d}"""
"6,2,""{-3 + 2*d^2, 5 + 4*d}"""
"6,2,""{-1 + 2*d^2, -1 + 2*d}"""
"6,2,""{-1 + 2*d^2, 1 + 2*d}"""
"6,2,""{-1 + 2*d^2, -3 + 4*d}"""
"6,2,""{-1 + 2*d^2, 3 + 4*d}"""
"6,2,""{1 + 2*d^2, -1 + 2*d}"""
"6,2,""{1 + 2*d^2, 1 + 2*d}"""
"6,2,""{-1 - (3*d)/2 + 2*d^2, 2 + 4*d}"""
"6,2,""{(-3*d)/2 + 2*d^2, 4*d}"""
"6,2,""{-2 - d + 2*d^2, 2 + 2*d}"""
"6,2,""{-1 - d + 2*d^2, -2 + 2*d}"""
"6,2,""{-d + 2*d^2, 2*d}"""
"6,2,""{-d + 2*d^2, -2 + 2*d}"""
"6,2,""{1 - d + 2*d^2, 2*d}"""
"6,2,""{-2 - d/2 + 2*d^2, 4 + 4*d}"""
"6,2,""{-1 - d/2 + 2*d^2, 2 + 4*d}"""
"6,2,""{-2 + d/2 + 2*d^2, -4 + 4*d}"""
"6,2,""{-1 + d/2 + 2*d^2, -2 + 4*d}"""
"6,2,""{-5 + d + 2*d^2, 4 + 2*d}"""
"6,2,""{-3 + d + 2*d^2, -2 + 2*d}"""
"6,2,""{-2 + d + 2*d^2, -2 + 2*d}"""
"6,2,""{-1 + d + 2*d^2, 2 + 2*d}"""
"6,2,""{d + 2*d^2, 2*d}"""
"6,2,""{d + 2*d^2, 2 + 2*d}"""
"6,2,""{1 + d + 2*d^2, 2*d}"""
"6,2,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"6,2,""{(3*d)/2 + 2*d^2, 4*d}"""
"6,2,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"6,2,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"6,2,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"7,2,""{2*d^2, -1 + 2*d}"""
"7,2,""{2*d^2, 1 + 2*d}"""
"7,2,""{2*d^2, -1 + 4*d}"""
"7,2,""{2*d^2, 1 + 4*d}"""
"7,2,""{-3 + 2*d^2, 3 + 2*d}"""
"7,2,""{-1 + 2*d^2, -1 + 2*d}"""
"7,2,""{-1 + 2*d^2, 1 + 2*d}"""
"7,2,""{1 + 2*d^2, -1 + 2*d}"""
"7,2,""{1 + 2*d^2, 1 + 2*d}"""
"7,2,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"7,2,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"7,2,""{-2 - d + 2*d^2, 2 + 2*d}"""
"7,2,""{-1 - d + 2*d^2, -2 + 2*d}"""
"7,2,""{-d + 2*d^2, 2*d}"""
"7,2,""{-d + 2*d^2, -2 + 2*d}"""
"7,2,""{-d + 2*d^2, -3 + 4*d}"""
"7,2,""{-d + 2*d^2, -1 + 4*d}"""
"7,2,""{1 - d + 2*d^2, 2*d}"""
"7,2,""{-1/2 - d/2 + 2*d^2, -2 + 4*d}"""
"7,2,""{1/2 - d/2 + 2*d^2, 4*d}"""
"7,2,""{-1/2 + d/2 + 2*d^2, 2 + 4*d}"""
"7,2,""{1/2 + d/2 + 2*d^2, 4*d}"""
"7,2,""{-5 + d + 2*d^2, 4 + 2*d}"""
"7,2,""{-3 + d + 2*d^2, -2 + 2*d}"""
"7,2,""{-2 + d + 2*d^2, -2 + 2*d}"""
"7,2,""{-1 + d + 2*d^2, 2 + 2*d}"""
"7,2,""{d + 2*d^2, 2*d}"""
"7,2,""{d + 2*d^2, 2 + 2*d}"""
"7,2,""{d + 2*d^2, 1 + 4*d}"""
"7,2,""{d + 2*d^2, 3 + 4*d}"""
"7,2,""{1 + d + 2*d^2, 2*d}"""
"7,2,""{-1/2 + (3*d)/2 + 2*d^2, 4 + 4*d}"""
"7,2,""{1/2 + (3*d)/2 + 2*d^2, 2 + 4*d}"""
"7,2,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"7,2,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"7,2,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"9,3,""{2*d^2, -1 + 2*d}"""
"9,3,""{2*d^2, 1 + 2*d}"""
"9,3,""{-3 + 2*d^2, 3 + 2*d}"""
"9,3,""{-1 + 2*d^2, -1 + 2*d}"""
"9,3,""{-1 + 2*d^2, 1 + 2*d}"""
"9,3,""{1 + 2*d^2, -1 + 2*d}"""
"9,3,""{1 + 2*d^2, 1 + 2*d}"""
"9,3,""{(-5*d)/3 + 2*d^2, 6*d}"""
"9,3,""{-1 - (4*d)/3 + 2*d^2, 3 + 6*d}"""
"9,3,""{-2 - d + 2*d^2, 2 + 2*d}"""
"9,3,""{-1 - d + 2*d^2, -2 + 2*d}"""
"9,3,""{-d + 2*d^2, 2*d}"""
"9,3,""{-d + 2*d^2, -2 + 2*d}"""
"9,3,""{1 - d + 2*d^2, 2*d}"""
"9,3,""{-1 - (2*d)/3 + 2*d^2, 3 + 6*d}"""
"9,3,""{-3 - d/3 + 2*d^2, -8 + 6*d}"""
"9,3,""{-2 - d/3 + 2*d^2, 6 + 6*d}"""
"9,3,""{-1 - d/3 + 2*d^2, 4 + 6*d}"""
"9,3,""{-3 + d/3 + 2*d^2, 8 + 6*d}"""
"9,3,""{-2 + d/3 + 2*d^2, -6 + 6*d}"""
"9,3,""{-1 + d/3 + 2*d^2, -4 + 6*d}"""
"9,3,""{-1 + (2*d)/3 + 2*d^2, -3 + 6*d}"""
"9,3,""{-5 + d + 2*d^2, 4 + 2*d}"""
"9,3,""{-3 + d + 2*d^2, -2 + 2*d}"""
"9,3,""{-2 + d + 2*d^2, -2 + 2*d}"""
"9,3,""{-1 + d + 2*d^2, 2 + 2*d}"""
"9,3,""{d + 2*d^2, 2*d}"""
"9,3,""{d + 2*d^2, 2 + 2*d}"""
"9,3,""{1 + d + 2*d^2, 2*d}"""
"9,3,""{-1 + (4*d)/3 + 2*d^2, -3 + 6*d}"""
"9,3,""{(5*d)/3 + 2*d^2, 6*d}"""
"9,3,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"9,3,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"9,3,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"10,3,""{2*d^2, -1 + 2*d}"""
"10,3,""{2*d^2, 1 + 2*d}"""
"10,3,""{2*d^2, -1 + 6*d}"""
"10,3,""{2*d^2, 1 + 6*d}"""
"10,3,""{-3 + 2*d^2, 3 + 2*d}"""
"10,3,""{-1 + 2*d^2, -1 + 2*d}"""
"10,3,""{-1 + 2*d^2, 1 + 2*d}"""
"10,3,""{1 + 2*d^2, -1 + 2*d}"""
"10,3,""{1 + 2*d^2, 1 + 2*d}"""
"10,3,""{-1/3 - (5*d)/3 + 2*d^2, -6 + 6*d}"""
"10,3,""{1/3 - (4*d)/3 + 2*d^2, -3 + 6*d}"""
"10,3,""{-2 - d + 2*d^2, 2 + 2*d}"""
"10,3,""{-1 - d + 2*d^2, -2 + 2*d}"""
"10,3,""{-d + 2*d^2, 2*d}"""
"10,3,""{-d + 2*d^2, -2 + 2*d}"""
"10,3,""{-d + 2*d^2, -4 + 6*d}"""
"10,3,""{-d + 2*d^2, -2 + 6*d}"""
"10,3,""{1 - d + 2*d^2, 2*d}"""
"10,3,""{-1/3 - (2*d)/3 + 2*d^2, -3 + 6*d}"""
"10,3,""{-5/3 - d/3 + 2*d^2, -6 + 6*d}"""
"10,3,""{1/3 - d/3 + 2*d^2, 6*d}"""
"10,3,""{-4/3 + d/3 + 2*d^2, -4 + 6*d}"""
"10,3,""{-1/3 + d/3 + 2*d^2, 2 + 6*d}"""
"10,3,""{-5/3 + (2*d)/3 + 2*d^2, -5 + 6*d}"""
"10,3,""{1/3 + (2*d)/3 + 2*d^2, 1 + 6*d}"""
"10,3,""{-5 + d + 2*d^2, 4 + 2*d}"""
"10,3,""{-3 + d + 2*d^2, -2 + 2*d}"""
"10,3,""{-2 + d + 2*d^2, -2 + 2*d}"""
"10,3,""{-1 + d + 2*d^2, 2 + 2*d}"""
"10,3,""{d + 2*d^2, 2*d}"""
"10,3,""{d + 2*d^2, 2 + 2*d}"""
"10,3,""{d + 2*d^2, 2 + 6*d}"""
"10,3,""{d + 2*d^2, 4 + 6*d}"""
"10,3,""{1 + d + 2*d^2, 2*d}"""
"10,3,""{-1/3 + (4*d)/3 + 2*d^2, -1 + 6*d}"""
"10,3,""{-1/3 + (4*d)/3 + 2*d^2, 5 + 6*d}"""
"10,3,""{-2/3 + (5*d)/3 + 2*d^2, -2 + 6*d}"""
"10,3,""{1/3 + (5*d)/3 + 2*d^2, 4 + 6*d}"""
"10,3,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"10,3,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"10,3,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"11,3,""{2*d^2, -1 + 2*d}"""
"11,3,""{2*d^2, 1 + 2*d}"""
"11,3,""{2*d^2, -1 + 6*d}"""
"11,3,""{2*d^2, 1 + 6*d}"""
"11,3,""{2*d^2, -1 + 10*d}"""
"11,3,""{2*d^2, 1 + 10*d}"""
"11,3,""{-3 + 2*d^2, 3 + 2*d}"""
"11,3,""{-1 + 2*d^2, -1 + 2*d}"""
"11,3,""{-1 + 2*d^2, 1 + 2*d}"""
"11,3,""{1 + 2*d^2, -1 + 2*d}"""
"11,3,""{1 + 2*d^2, 1 + 2*d}"""
"11,3,""{-2/3 - (5*d)/3 + 2*d^2, 2 + 6*d}"""
"11,3,""{1/3 - (5*d)/3 + 2*d^2, -4 + 6*d}"""
"11,3,""{-1/3 - (4*d)/3 + 2*d^2, -5 + 6*d}"""
"11,3,""{-1/3 - (4*d)/3 + 2*d^2, 1 + 6*d}"""
"11,3,""{-2 - d + 2*d^2, 2 + 2*d}"""
"11,3,""{-1 - d + 2*d^2, -2 + 2*d}"""
"11,3,""{-d + 2*d^2, 2*d}"""
"11,3,""{-d + 2*d^2, -2 + 2*d}"""
"11,3,""{-d + 2*d^2, -4 + 6*d}"""
"11,3,""{-d + 2*d^2, -2 + 6*d}"""
"11,3,""{-d + 2*d^2, -4 + 10*d}"""
"11,3,""{1 - d + 2*d^2, 2*d}"""
"11,3,""{-5/3 - (2*d)/3 + 2*d^2, 5 + 6*d}"""
"11,3,""{1/3 - (2*d)/3 + 2*d^2, -1 + 6*d}"""
"11,3,""{-7/3 - d/3 + 2*d^2, 6 + 6*d}"""
"11,3,""{-4/3 - d/3 + 2*d^2, 4 + 6*d}"""
"11,3,""{-1/3 - d/3 + 2*d^2, -2 + 6*d}"""
"11,3,""{-5/3 + d/3 + 2*d^2, 6 + 6*d}"""
"11,3,""{1/3 + d/3 + 2*d^2, 6*d}"""
"11,3,""{-1/3 + (2*d)/3 + 2*d^2, 3 + 6*d}"""
"11,3,""{-5 + d + 2*d^2, 4 + 2*d}"""
"11,3,""{-3 + d + 2*d^2, -2 + 2*d}"""
"11,3,""{-2 + d + 2*d^2, -2 + 2*d}"""
"11,3,""{-1 + d + 2*d^2, 2 + 2*d}"""
"11,3,""{d + 2*d^2, 2*d}"""
"11,3,""{d + 2*d^2, 2 + 2*d}"""
"11,3,""{d + 2*d^2, 2 + 6*d}"""
"11,3,""{d + 2*d^2, 4 + 6*d}"""
"11,3,""{d + 2*d^2, 4 + 10*d}"""
"11,3,""{1 + d + 2*d^2, 2*d}"""
"11,3,""{1/3 + (4*d)/3 + 2*d^2, 3 + 6*d}"""
"11,3,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"11,3,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"11,3,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"12,4,""{2*d^2, -1 + 2*d}"""
"12,4,""{2*d^2, 1 + 2*d}"""
"12,4,""{2*d^2, -1 + 10*d}"""
"12,4,""{2*d^2, 1 + 10*d}"""
"12,4,""{-3 + 2*d^2, 3 + 2*d}"""
"12,4,""{-3 + 2*d^2, -5 + 4*d}"""
"12,4,""{-3 + 2*d^2, 5 + 4*d}"""
"12,4,""{-1 + 2*d^2, -1 + 2*d}"""
"12,4,""{-1 + 2*d^2, 1 + 2*d}"""
"12,4,""{-1 + 2*d^2, -3 + 4*d}"""
"12,4,""{-1 + 2*d^2, 3 + 4*d}"""
"12,4,""{1 + 2*d^2, -1 + 2*d}"""
"12,4,""{1 + 2*d^2, 1 + 2*d}"""
"12,4,""{(-7*d)/4 + 2*d^2, 8*d}"""
"12,4,""{-1 - (3*d)/2 + 2*d^2, 2 + 4*d}"""
"12,4,""{(-3*d)/2 + 2*d^2, 4*d}"""
"12,4,""{-2 - d + 2*d^2, 2 + 2*d}"""
"12,4,""{-1 - d + 2*d^2, -2 + 2*d}"""
"12,4,""{-d + 2*d^2, 2*d}"""
"12,4,""{-d + 2*d^2, -2 + 2*d}"""
"12,4,""{-d + 2*d^2, -6 + 10*d}"""
"12,4,""{-d + 2*d^2, -4 + 10*d}"""
"12,4,""{1 - d + 2*d^2, 2*d}"""
"12,4,""{-1 - (3*d)/4 + 2*d^2, 4 + 8*d}"""
"12,4,""{-3 - d/2 + 2*d^2, -11 + 8*d}"""
"12,4,""{-2 - d/2 + 2*d^2, 4 + 4*d}"""
"12,4,""{-1 - d/2 + 2*d^2, 2 + 4*d}"""
"12,4,""{-1 - d/2 + 2*d^2, 5 + 8*d}"""
