"dm, P, ""N(d), s(d)"""
"12,4,""{-2 - d/4 + 2*d^2, 8 + 8*d}"""
"12,4,""{-2 + d/4 + 2*d^2, -8 + 8*d}"""
"12,4,""{-3 + d/2 + 2*d^2, 11 + 8*d}"""
"12,4,""{-2 + d/2 + 2*d^2, -4 + 4*d}"""
"12,4,""{-1 + d/2 + 2*d^2, -2 + 4*d}"""
"12,4,""{-1 + d/2 + 2*d^2, -5 + 8*d}"""
"12,4,""{-1 + (3*d)/4 + 2*d^2, -4 + 8*d}"""
"12,4,""{-5 + d + 2*d^2, 4 + 2*d}"""
"12,4,""{-3 + d + 2*d^2, -2 + 2*d}"""
"12,4,""{-2 + d + 2*d^2, -2 + 2*d}"""
"12,4,""{-1 + d + 2*d^2, 2 + 2*d}"""
"12,4,""{d + 2*d^2, 2*d}"""
"12,4,""{d + 2*d^2, 2 + 2*d}"""
"12,4,""{d + 2*d^2, 4 + 10*d}"""
"12,4,""{1 + d + 2*d^2, 2*d}"""
"12,4,""{-1 + (5*d)/4 + 2*d^2, -4 + 8*d}"""
"12,4,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"12,4,""{(3*d)/2 + 2*d^2, 4*d}"""
"12,4,""{(7*d)/4 + 2*d^2, 8*d}"""
"12,4,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"12,4,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"12,4,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"13,4,""{2*d^2, -1 + 2*d}"""
"13,4,""{2*d^2, 1 + 2*d}"""
"13,4,""{2*d^2, -1 + 4*d}"""
"13,4,""{2*d^2, 1 + 4*d}"""
"13,4,""{2*d^2, -1 + 8*d}"""
"13,4,""{2*d^2, 1 + 8*d}"""
"13,4,""{-3 + 2*d^2, 3 + 2*d}"""
"13,4,""{-1 + 2*d^2, -1 + 2*d}"""
"13,4,""{-1 + 2*d^2, 1 + 2*d}"""
"13,4,""{1 + 2*d^2, -1 + 2*d}"""
"13,4,""{1 + 2*d^2, 1 + 2*d}"""
"13,4,""{-1/4 - (7*d)/4 + 2*d^2, -8 + 8*d}"""
"13,4,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"13,4,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"13,4,""{1/4 - (5*d)/4 + 2*d^2, -4 + 8*d}"""
"13,4,""{-2 - d + 2*d^2, 2 + 2*d}"""
"13,4,""{-1 - d + 2*d^2, -2 + 2*d}"""
"13,4,""{-d + 2*d^2, 2*d}"""
"13,4,""{-d + 2*d^2, -2 + 2*d}"""
"13,4,""{-d + 2*d^2, -3 + 4*d}"""
"13,4,""{-d + 2*d^2, -1 + 4*d}"""
"13,4,""{-d + 2*d^2, -5 + 8*d}"""
"13,4,""{-d + 2*d^2, -3 + 8*d}"""
"13,4,""{1 - d + 2*d^2, 2*d}"""
"13,4,""{-1/4 - (3*d)/4 + 2*d^2, -4 + 8*d}"""
"13,4,""{-1/2 - d/2 + 2*d^2, -2 + 4*d}"""
"13,4,""{1/2 - d/2 + 2*d^2, 4*d}"""
"13,4,""{1/4 - d/4 + 2*d^2, 8*d}"""
"13,4,""{-1/4 + d/4 + 2*d^2, 2 + 8*d}"""
"13,4,""{-1/2 + d/2 + 2*d^2, 2 + 4*d}"""
"13,4,""{1/2 + d/2 + 2*d^2, 4*d}"""
"13,4,""{1/4 + (3*d)/4 + 2*d^2, 2 + 8*d}"""
"13,4,""{-5 + d + 2*d^2, 4 + 2*d}"""
"13,4,""{-3 + d + 2*d^2, -2 + 2*d}"""
"13,4,""{-2 + d + 2*d^2, -2 + 2*d}"""
"13,4,""{-1 + d + 2*d^2, 2 + 2*d}"""
"13,4,""{d + 2*d^2, 2*d}"""
"13,4,""{d + 2*d^2, 2 + 2*d}"""
"13,4,""{d + 2*d^2, 1 + 4*d}"""
"13,4,""{d + 2*d^2, 3 + 4*d}"""
"13,4,""{d + 2*d^2, 3 + 8*d}"""
"13,4,""{d + 2*d^2, 5 + 8*d}"""
"13,4,""{1 + d + 2*d^2, 2*d}"""
"13,4,""{-1/4 + (5*d)/4 + 2*d^2, 6 + 8*d}"""
"13,4,""{-1/2 + (3*d)/2 + 2*d^2, 4 + 4*d}"""
"13,4,""{1/2 + (3*d)/2 + 2*d^2, 2 + 4*d}"""
"13,4,""{1/4 + (7*d)/4 + 2*d^2, 6 + 8*d}"""
"13,4,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"13,4,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"13,4,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"14,4,""{2*d^2, -1 + 2*d}"""
"14,4,""{2*d^2, 1 + 2*d}"""
"14,4,""{2*d^2, -1 + 10*d}"""
"14,4,""{2*d^2, 1 + 10*d}"""
"14,4,""{-3 + 2*d^2, 3 + 2*d}"""
"14,4,""{-3 + 2*d^2, -5 + 4*d}"""
"14,4,""{-3 + 2*d^2, 5 + 4*d}"""
"14,4,""{-1 + 2*d^2, -1 + 2*d}"""
"14,4,""{-1 + 2*d^2, 1 + 2*d}"""
"14,4,""{-1 + 2*d^2, -3 + 4*d}"""
"14,4,""{-1 + 2*d^2, 3 + 4*d}"""
"14,4,""{1 + 2*d^2, -1 + 2*d}"""
"14,4,""{1 + 2*d^2, 1 + 2*d}"""
"14,4,""{-1/2 - (7*d)/4 + 2*d^2, 2 + 8*d}"""
"14,4,""{-1 - (3*d)/2 + 2*d^2, 2 + 4*d}"""
"14,4,""{(-3*d)/2 + 2*d^2, 4*d}"""
"14,4,""{-1/2 - (5*d)/4 + 2*d^2, 2 + 8*d}"""
"14,4,""{-2 - d + 2*d^2, 2 + 2*d}"""
"14,4,""{-1 - d + 2*d^2, -2 + 2*d}"""
"14,4,""{-d + 2*d^2, 2*d}"""
"14,4,""{-d + 2*d^2, -2 + 2*d}"""
"14,4,""{-d + 2*d^2, -4 + 10*d}"""
"14,4,""{1 - d + 2*d^2, 2*d}"""
"14,4,""{-3/2 - (3*d)/4 + 2*d^2, 6 + 8*d}"""
"14,4,""{-2 - d/2 + 2*d^2, 4 + 4*d}"""
"14,4,""{-2 - d/2 + 2*d^2, -9 + 8*d}"""
"14,4,""{-2 - d/2 + 2*d^2, 7 + 8*d}"""
"14,4,""{-1 - d/2 + 2*d^2, 2 + 4*d}"""
"14,4,""{-3/2 - d/4 + 2*d^2, 6 + 8*d}"""
"14,4,""{-3/2 + d/4 + 2*d^2, -6 + 8*d}"""
"14,4,""{-2 + d/2 + 2*d^2, -4 + 4*d}"""
"14,4,""{-2 + d/2 + 2*d^2, -7 + 8*d}"""
"14,4,""{-2 + d/2 + 2*d^2, 9 + 8*d}"""
"14,4,""{-1 + d/2 + 2*d^2, -2 + 4*d}"""
"14,4,""{-5 + d + 2*d^2, 4 + 2*d}"""
"14,4,""{-3 + d + 2*d^2, -2 + 2*d}"""
"14,4,""{-2 + d + 2*d^2, -2 + 2*d}"""
"14,4,""{-1 + d + 2*d^2, 2 + 2*d}"""
"14,4,""{d + 2*d^2, 2*d}"""
"14,4,""{d + 2*d^2, 2 + 2*d}"""
"14,4,""{d + 2*d^2, 4 + 10*d}"""
"14,4,""{d + 2*d^2, 6 + 10*d}"""
"14,4,""{1 + d + 2*d^2, 2*d}"""
"14,4,""{-1/2 + (5*d)/4 + 2*d^2, -2 + 8*d}"""
"14,4,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"14,4,""{(3*d)/2 + 2*d^2, 4*d}"""
"14,4,""{-1/2 + (7*d)/4 + 2*d^2, -2 + 8*d}"""
"14,4,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"14,4,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"14,4,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"15,4,""{2*d^2, -1 + 2*d}"""
"15,4,""{2*d^2, 1 + 2*d}"""
"15,4,""{2*d^2, -1 + 4*d}"""
"15,4,""{2*d^2, 1 + 4*d}"""
"15,4,""{2*d^2, -1 + 8*d}"""
"15,4,""{2*d^2, 1 + 8*d}"""
"15,4,""{2*d^2, -1 + 14*d}"""
"15,4,""{2*d^2, 1 + 14*d}"""
"15,4,""{-3 + 2*d^2, 3 + 2*d}"""
"15,4,""{-1 + 2*d^2, -1 + 2*d}"""
"15,4,""{-1 + 2*d^2, 1 + 2*d}"""
"15,4,""{1 + 2*d^2, -1 + 2*d}"""
"15,4,""{1 + 2*d^2, 1 + 2*d}"""
"15,4,""{1/4 - (7*d)/4 + 2*d^2, -6 + 8*d}"""
"15,4,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"15,4,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"15,4,""{-2 - d + 2*d^2, 2 + 2*d}"""
"15,4,""{-1 - d + 2*d^2, -2 + 2*d}"""
"15,4,""{-d + 2*d^2, 2*d}"""
"15,4,""{-d + 2*d^2, -2 + 2*d}"""
"15,4,""{-d + 2*d^2, -3 + 4*d}"""
"15,4,""{-d + 2*d^2, -1 + 4*d}"""
"15,4,""{-d + 2*d^2, -5 + 8*d}"""
"15,4,""{-d + 2*d^2, -3 + 8*d}"""
"15,4,""{-d + 2*d^2, -6 + 14*d}"""
"15,4,""{1 - d + 2*d^2, 2*d}"""
"15,4,""{1/4 - (3*d)/4 + 2*d^2, -2 + 8*d}"""
"15,4,""{-1/2 - d/2 + 2*d^2, -2 + 4*d}"""
"15,4,""{1/2 - d/2 + 2*d^2, 4*d}"""
"15,4,""{-1/4 - d/4 + 2*d^2, -2 + 8*d}"""
"15,4,""{1/4 + d/4 + 2*d^2, 8*d}"""
"15,4,""{-1/2 + d/2 + 2*d^2, 2 + 4*d}"""
"15,4,""{1/2 + d/2 + 2*d^2, 4*d}"""
"15,4,""{-1/4 + (3*d)/4 + 2*d^2, 4 + 8*d}"""
"15,4,""{-5 + d + 2*d^2, 4 + 2*d}"""
"15,4,""{-3 + d + 2*d^2, -2 + 2*d}"""
"15,4,""{-2 + d + 2*d^2, -2 + 2*d}"""
"15,4,""{-1 + d + 2*d^2, 2 + 2*d}"""
"15,4,""{d + 2*d^2, 2*d}"""
"15,4,""{d + 2*d^2, 2 + 2*d}"""
"15,4,""{d + 2*d^2, 1 + 4*d}"""
"15,4,""{d + 2*d^2, 3 + 4*d}"""
"15,4,""{d + 2*d^2, 3 + 8*d}"""
"15,4,""{d + 2*d^2, 6 + 14*d}"""
"15,4,""{1 + d + 2*d^2, 2*d}"""
"15,4,""{1/4 + (5*d)/4 + 2*d^2, 4 + 8*d}"""
"15,4,""{-1/2 + (3*d)/2 + 2*d^2, 4 + 4*d}"""
"15,4,""{1/2 + (3*d)/2 + 2*d^2, 2 + 4*d}"""
"15,4,""{-1/4 + (7*d)/4 + 2*d^2, 8 + 8*d}"""
"15,4,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"15,4,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"15,4,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"10,5,""{2*d^2, -1 + 2*d}"""
"10,5,""{2*d^2, 1 + 2*d}"""
"10,5,""{-3 + 2*d^2, 3 + 2*d}"""
"10,5,""{-1 + 2*d^2, -1 + 2*d}"""
"10,5,""{-1 + 2*d^2, 1 + 2*d}"""
"10,5,""{1 + 2*d^2, -1 + 2*d}"""
"10,5,""{1 + 2*d^2, 1 + 2*d}"""
"10,5,""{-2 - d + 2*d^2, 2 + 2*d}"""
"10,5,""{-1 - d + 2*d^2, -2 + 2*d}"""
"10,5,""{-d + 2*d^2, 2*d}"""
"10,5,""{-d + 2*d^2, -2 + 2*d}"""
"10,5,""{1 - d + 2*d^2, 2*d}"""
"10,5,""{-1 + (3*d)/5 + 2*d^2, -6 + 10*d}"""
"10,5,""{-1 + (4*d)/5 + 2*d^2, -5 + 10*d}"""
"10,5,""{-5 + d + 2*d^2, 4 + 2*d}"""
"10,5,""{-3 + d + 2*d^2, -2 + 2*d}"""
"10,5,""{-2 + d + 2*d^2, -2 + 2*d}"""
"10,5,""{-1 + d + 2*d^2, 2 + 2*d}"""
"10,5,""{d + 2*d^2, 2*d}"""
"10,5,""{d + 2*d^2, 2 + 2*d}"""
"10,5,""{1 + d + 2*d^2, 2*d}"""
"10,5,""{-1 + (6*d)/5 + 2*d^2, -5 + 10*d}"""
"10,5,""{(9*d)/5 + 2*d^2, 10*d}"""
"10,5,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"10,5,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"10,5,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"11,5,""{2*d^2, -1 + 2*d}"""
"11,5,""{2*d^2, 1 + 2*d}"""
"11,5,""{2*d^2, -1 + 6*d}"""
"11,5,""{2*d^2, 1 + 6*d}"""
"11,5,""{2*d^2, -1 + 10*d}"""
"11,5,""{2*d^2, 1 + 10*d}"""
"11,5,""{-3 + 2*d^2, 3 + 2*d}"""
"11,5,""{-1 + 2*d^2, -1 + 2*d}"""
"11,5,""{-1 + 2*d^2, 1 + 2*d}"""
"11,5,""{1 + 2*d^2, -1 + 2*d}"""
"11,5,""{1 + 2*d^2, 1 + 2*d}"""
"11,5,""{-1/5 - (9*d)/5 + 2*d^2, -10 + 10*d}"""
"11,5,""{1/5 - (6*d)/5 + 2*d^2, -5 + 10*d}"""
"11,5,""{-2 - d + 2*d^2, 2 + 2*d}"""
"11,5,""{-1 - d + 2*d^2, -2 + 2*d}"""
"11,5,""{-d + 2*d^2, 2*d}"""
"11,5,""{-d + 2*d^2, -2 + 2*d}"""
"11,5,""{-d + 2*d^2, -4 + 6*d}"""
"11,5,""{-d + 2*d^2, -2 + 6*d}"""
"11,5,""{-d + 2*d^2, -6 + 10*d}"""
"11,5,""{-d + 2*d^2, -4 + 10*d}"""
"11,5,""{1 - d + 2*d^2, 2*d}"""
"11,5,""{-1/5 - (4*d)/5 + 2*d^2, -5 + 10*d}"""
"11,5,""{-9/5 - d/5 + 2*d^2, -10 + 10*d}"""
"11,5,""{1/5 - d/5 + 2*d^2, 10*d}"""
"11,5,""{-11/5 + d/5 + 2*d^2, -10 + 10*d}"""
"11,5,""{-1/5 + d/5 + 2*d^2, 2 + 10*d}"""
"11,5,""{-7/5 + (2*d)/5 + 2*d^2, -7 + 10*d}"""
"11,5,""{1/5 + (4*d)/5 + 2*d^2, 3 + 10*d}"""
"11,5,""{-5 + d + 2*d^2, 4 + 2*d}"""
"11,5,""{-3 + d + 2*d^2, -2 + 2*d}"""
"11,5,""{-2 + d + 2*d^2, -2 + 2*d}"""
"11,5,""{-1 + d + 2*d^2, 2 + 2*d}"""
"11,5,""{d + 2*d^2, 2*d}"""
"11,5,""{d + 2*d^2, 2 + 2*d}"""
"11,5,""{d + 2*d^2, 2 + 6*d}"""
"11,5,""{d + 2*d^2, 4 + 6*d}"""
"11,5,""{d + 2*d^2, 4 + 10*d}"""
"11,5,""{d + 2*d^2, 6 + 10*d}"""
"11,5,""{1 + d + 2*d^2, 2*d}"""
"11,5,""{-1/5 + (6*d)/5 + 2*d^2, 7 + 10*d}"""
"11,5,""{-2/5 + (7*d)/5 + 2*d^2, -2 + 10*d}"""
"11,5,""{-3/5 + (8*d)/5 + 2*d^2, -3 + 10*d}"""
"11,5,""{1/5 + (9*d)/5 + 2*d^2, 8 + 10*d}"""
"11,5,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"11,5,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"11,5,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"12,5,""{2*d^2, -1 + 2*d}"""
"12,5,""{2*d^2, 1 + 2*d}"""
"12,5,""{2*d^2, -1 + 10*d}"""
"12,5,""{2*d^2, 1 + 10*d}"""
"12,5,""{-3 + 2*d^2, 3 + 2*d}"""
"12,5,""{-1 + 2*d^2, -1 + 2*d}"""
"12,5,""{-1 + 2*d^2, 1 + 2*d}"""
"12,5,""{1 + 2*d^2, -1 + 2*d}"""
"12,5,""{1 + 2*d^2, 1 + 2*d}"""
"12,5,""{-2/5 - (9*d)/5 + 2*d^2, 2 + 10*d}"""
"12,5,""{1/5 - (8*d)/5 + 2*d^2, -7 + 10*d}"""
"12,5,""{-3/5 - (6*d)/5 + 2*d^2, 3 + 10*d}"""
"12,5,""{-2 - d + 2*d^2, 2 + 2*d}"""
"12,5,""{-1 - d + 2*d^2, -2 + 2*d}"""
"12,5,""{-d + 2*d^2, 2*d}"""
"12,5,""{-d + 2*d^2, -2 + 2*d}"""
"12,5,""{-d + 2*d^2, -6 + 10*d}"""
"12,5,""{-d + 2*d^2, -4 + 10*d}"""
"12,5,""{1 - d + 2*d^2, 2*d}"""
"12,5,""{-7/5 - (4*d)/5 + 2*d^2, 7 + 10*d}"""
"12,5,""{-9/5 - (3*d)/5 + 2*d^2, 8 + 10*d}"""
"12,5,""{1/5 - (3*d)/5 + 2*d^2, -2 + 10*d}"""
"12,5,""{-1/5 - (2*d)/5 + 2*d^2, -3 + 10*d}"""
"12,5,""{-8/5 - d/5 + 2*d^2, 8 + 10*d}"""
"12,5,""{-7/5 + d/5 + 2*d^2, -8 + 10*d}"""
"12,5,""{-9/5 + (2*d)/5 + 2*d^2, -9 + 10*d}"""
"12,5,""{1/5 + (2*d)/5 + 2*d^2, 1 + 10*d}"""
"12,5,""{-6/5 + (3*d)/5 + 2*d^2, -6 + 10*d}"""
"12,5,""{-1/5 + (3*d)/5 + 2*d^2, 4 + 10*d}"""
"12,5,""{-5 + d + 2*d^2, 4 + 2*d}"""
"12,5,""{-3 + d + 2*d^2, -2 + 2*d}"""
"12,5,""{-2 + d + 2*d^2, -2 + 2*d}"""
"12,5,""{-1 + d + 2*d^2, 2 + 2*d}"""
"12,5,""{d + 2*d^2, 2*d}"""
"12,5,""{d + 2*d^2, 2 + 2*d}"""
"12,5,""{d + 2*d^2, 4 + 10*d}"""
"12,5,""{1 + d + 2*d^2, 2*d}"""
"12,5,""{-4/5 + (7*d)/5 + 2*d^2, -4 + 10*d}"""
"12,5,""{1/5 + (7*d)/5 + 2*d^2, 6 + 10*d}"""
"12,5,""{-1/5 + (8*d)/5 + 2*d^2, -1 + 10*d}"""
"12,5,""{-1/5 + (8*d)/5 + 2*d^2, 9 + 10*d}"""
"12,5,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"12,5,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"12,5,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"13,5,""{2*d^2, -1 + 2*d}"""
"13,5,""{2*d^2, 1 + 2*d}"""
"13,5,""{2*d^2, -1 + 10*d}"""
"13,5,""{2*d^2, 1 + 10*d}"""
"13,5,""{-3 + 2*d^2, 3 + 2*d}"""
"13,5,""{-1 + 2*d^2, -1 + 2*d}"""
"13,5,""{-1 + 2*d^2, 1 + 2*d}"""
"13,5,""{1 + 2*d^2, -1 + 2*d}"""
"13,5,""{1 + 2*d^2, 1 + 2*d}"""
"13,5,""{-1/5 - (8*d)/5 + 2*d^2, -9 + 10*d}"""
"13,5,""{-1/5 - (8*d)/5 + 2*d^2, 1 + 10*d}"""
"13,5,""{-4/5 - (7*d)/5 + 2*d^2, 4 + 10*d}"""
"13,5,""{1/5 - (7*d)/5 + 2*d^2, -6 + 10*d}"""
"13,5,""{-2 - d + 2*d^2, 2 + 2*d}"""
"13,5,""{-1 - d + 2*d^2, -2 + 2*d}"""
"13,5,""{-d + 2*d^2, 2*d}"""
"13,5,""{-d + 2*d^2, -2 + 2*d}"""
"13,5,""{-d + 2*d^2, -4 + 10*d}"""
"13,5,""{1 - d + 2*d^2, 2*d}"""
"13,5,""{-11/5 - (3*d)/5 + 2*d^2, -12 + 10*d}"""
"13,5,""{-6/5 - (3*d)/5 + 2*d^2, 6 + 10*d}"""
"13,5,""{-1/5 - (3*d)/5 + 2*d^2, -4 + 10*d}"""
"13,5,""{-9/5 - (2*d)/5 + 2*d^2, 9 + 10*d}"""
"13,5,""{1/5 - (2*d)/5 + 2*d^2, -1 + 10*d}"""
"13,5,""{-7/5 - d/5 + 2*d^2, 8 + 10*d}"""
"13,5,""{-13/5 + d/5 + 2*d^2, 12 + 10*d}"""
"13,5,""{-8/5 + d/5 + 2*d^2, -8 + 10*d}"""
"13,5,""{-1/5 + (2*d)/5 + 2*d^2, 3 + 10*d}"""
"13,5,""{-9/5 + (3*d)/5 + 2*d^2, -8 + 10*d}"""
"13,5,""{1/5 + (3*d)/5 + 2*d^2, 2 + 10*d}"""
"13,5,""{-7/5 + (4*d)/5 + 2*d^2, -7 + 10*d}"""
"13,5,""{-5 + d + 2*d^2, 4 + 2*d}"""
"13,5,""{-3 + d + 2*d^2, -2 + 2*d}"""
"13,5,""{-2 + d + 2*d^2, -2 + 2*d}"""
"13,5,""{-1 + d + 2*d^2, 2 + 2*d}"""
"13,5,""{d + 2*d^2, 2*d}"""
"13,5,""{d + 2*d^2, 2 + 2*d}"""
"13,5,""{d + 2*d^2, 4 + 10*d}"""
"13,5,""{d + 2*d^2, 6 + 10*d}"""
"13,5,""{1 + d + 2*d^2, 2*d}"""
"13,5,""{-3/5 + (6*d)/5 + 2*d^2, -3 + 10*d}"""
"13,5,""{-1/5 + (7*d)/5 + 2*d^2, 8 + 10*d}"""
"13,5,""{1/5 + (8*d)/5 + 2*d^2, 7 + 10*d}"""
"13,5,""{-2/5 + (9*d)/5 + 2*d^2, -2 + 10*d}"""
"13,5,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"13,5,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"13,5,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"14,5,""{2*d^2, -1 + 2*d}"""
"14,5,""{2*d^2, 1 + 2*d}"""
"14,5,""{2*d^2, -1 + 6*d}"""
"14,5,""{2*d^2, 1 + 6*d}"""
"14,5,""{2*d^2, -1 + 10*d}"""
"14,5,""{2*d^2, 1 + 10*d}"""
"14,5,""{-3 + 2*d^2, 3 + 2*d}"""
"14,5,""{-1 + 2*d^2, -1 + 2*d}"""
"14,5,""{-1 + 2*d^2, 1 + 2*d}"""
"14,5,""{1 + 2*d^2, -1 + 2*d}"""
"14,5,""{1 + 2*d^2, 1 + 2*d}"""
"14,5,""{1/5 - (9*d)/5 + 2*d^2, -8 + 10*d}"""
"14,5,""{-3/5 - (8*d)/5 + 2*d^2, 3 + 10*d}"""
"14,5,""{-2/5 - (7*d)/5 + 2*d^2, 2 + 10*d}"""
"14,5,""{-1/5 - (6*d)/5 + 2*d^2, -7 + 10*d}"""
"14,5,""{-2 - d + 2*d^2, 2 + 2*d}"""
"14,5,""{-1 - d + 2*d^2, -2 + 2*d}"""
"14,5,""{-d + 2*d^2, 2*d}"""
"14,5,""{-d + 2*d^2, -2 + 2*d}"""
"14,5,""{-d + 2*d^2, -4 + 6*d}"""
"14,5,""{-d + 2*d^2, -2 + 6*d}"""
"14,5,""{-d + 2*d^2, -6 + 10*d}"""
"14,5,""{-d + 2*d^2, -4 + 10*d}"""
"14,5,""{1 - d + 2*d^2, 2*d}"""
"14,5,""{1/5 - (4*d)/5 + 2*d^2, -3 + 10*d}"""
"14,5,""{-8/5 - (3*d)/5 + 2*d^2, 8 + 10*d}"""
"14,5,""{-7/5 - (2*d)/5 + 2*d^2, 7 + 10*d}"""
"14,5,""{-11/5 - d/5 + 2*d^2, 10 + 10*d}"""
"14,5,""{-1/5 - d/5 + 2*d^2, -2 + 10*d}"""
"14,5,""{-9/5 + d/5 + 2*d^2, 10 + 10*d}"""
"14,5,""{1/5 + d/5 + 2*d^2, 10*d}"""
