"dm, P, ""N(d), s(d)"""
"14,5,""{-1/5 + (4*d)/5 + 2*d^2, 5 + 10*d}"""
"14,5,""{-5 + d + 2*d^2, 4 + 2*d}"""
"14,5,""{-3 + d + 2*d^2, -2 + 2*d}"""
"14,5,""{-2 + d + 2*d^2, -2 + 2*d}"""
"14,5,""{-1 + d + 2*d^2, 2 + 2*d}"""
"14,5,""{d + 2*d^2, 2*d}"""
"14,5,""{d + 2*d^2, 2 + 2*d}"""
"14,5,""{d + 2*d^2, 2 + 6*d}"""
"14,5,""{d + 2*d^2, 4 + 6*d}"""
"14,5,""{d + 2*d^2, 4 + 10*d}"""
"14,5,""{d + 2*d^2, 6 + 10*d}"""
"14,5,""{1 + d + 2*d^2, 2*d}"""
"14,5,""{1/5 + (6*d)/5 + 2*d^2, 5 + 10*d}"""
"14,5,""{-1/5 + (9*d)/5 + 2*d^2, 10 + 10*d}"""
"14,5,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"14,5,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"14,5,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"12,6,""{2*d^2, -1 + 2*d}"""
"12,6,""{2*d^2, 1 + 2*d}"""
"12,6,""{2*d^2, -1 + 10*d}"""
"12,6,""{2*d^2, 1 + 10*d}"""
"12,6,""{-3 + 2*d^2, 3 + 2*d}"""
"12,6,""{-3 + 2*d^2, -5 + 4*d}"""
"12,6,""{-3 + 2*d^2, 5 + 4*d}"""
"12,6,""{-1 + 2*d^2, -1 + 2*d}"""
"12,6,""{-1 + 2*d^2, 1 + 2*d}"""
"12,6,""{-1 + 2*d^2, -3 + 4*d}"""
"12,6,""{-1 + 2*d^2, 3 + 4*d}"""
"12,6,""{1 + 2*d^2, -1 + 2*d}"""
"12,6,""{1 + 2*d^2, 1 + 2*d}"""
"12,6,""{(-5*d)/3 + 2*d^2, 6*d}"""
"12,6,""{-1 - (3*d)/2 + 2*d^2, 2 + 4*d}"""
"12,6,""{(-3*d)/2 + 2*d^2, 4*d}"""
"12,6,""{-1 - (4*d)/3 + 2*d^2, 3 + 6*d}"""
"12,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"12,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"12,6,""{-d + 2*d^2, 2*d}"""
"12,6,""{-d + 2*d^2, -2 + 2*d}"""
"12,6,""{-d + 2*d^2, -6 + 10*d}"""
"12,6,""{-d + 2*d^2, -4 + 10*d}"""
"12,6,""{1 - d + 2*d^2, 2*d}"""
"12,6,""{-1 - (2*d)/3 + 2*d^2, 3 + 6*d}"""
"12,6,""{-2 - d/2 + 2*d^2, 4 + 4*d}"""
"12,6,""{-1 - d/2 + 2*d^2, 2 + 4*d}"""
"12,6,""{-3 - d/3 + 2*d^2, -8 + 6*d}"""
"12,6,""{-1 - d/3 + 2*d^2, 4 + 6*d}"""
"12,6,""{-2 + d/3 + 2*d^2, -6 + 6*d}"""
"12,6,""{-1 + d/3 + 2*d^2, -4 + 6*d}"""
"12,6,""{-2 + d/2 + 2*d^2, -4 + 4*d}"""
"12,6,""{-1 + d/2 + 2*d^2, -2 + 4*d}"""
"12,6,""{-1 + (2*d)/3 + 2*d^2, -3 + 6*d}"""
"12,6,""{-1 + (2*d)/3 + 2*d^2, -7 + 12*d}"""
"12,6,""{-1 + (5*d)/6 + 2*d^2, -6 + 12*d}"""
"12,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"12,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"12,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"12,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"12,6,""{d + 2*d^2, 2*d}"""
"12,6,""{d + 2*d^2, 2 + 2*d}"""
"12,6,""{d + 2*d^2, 4 + 10*d}"""
"12,6,""{d + 2*d^2, 6 + 10*d}"""
"12,6,""{1 + d + 2*d^2, 2*d}"""
"12,6,""{-1 + (7*d)/6 + 2*d^2, -6 + 12*d}"""
"12,6,""{-1 + (4*d)/3 + 2*d^2, -3 + 6*d}"""
"12,6,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"12,6,""{(3*d)/2 + 2*d^2, 4*d}"""
"12,6,""{(5*d)/3 + 2*d^2, 6*d}"""
"12,6,""{(11*d)/6 + 2*d^2, 12*d}"""
"12,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"12,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"12,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"13,6,""{2*d^2, -1 + 2*d}"""
"13,6,""{2*d^2, 1 + 2*d}"""
"13,6,""{2*d^2, -1 + 4*d}"""
"13,6,""{2*d^2, 1 + 4*d}"""
"13,6,""{2*d^2, -1 + 6*d}"""
"13,6,""{2*d^2, 1 + 6*d}"""
"13,6,""{2*d^2, -1 + 8*d}"""
"13,6,""{2*d^2, 1 + 8*d}"""
"13,6,""{2*d^2, -1 + 12*d}"""
"13,6,""{2*d^2, 1 + 12*d}"""
"13,6,""{-3 + 2*d^2, 3 + 2*d}"""
"13,6,""{-1 + 2*d^2, -1 + 2*d}"""
"13,6,""{-1 + 2*d^2, 1 + 2*d}"""
"13,6,""{1 + 2*d^2, -1 + 2*d}"""
"13,6,""{1 + 2*d^2, 1 + 2*d}"""
"13,6,""{-1/6 - (11*d)/6 + 2*d^2, -12 + 12*d}"""
"13,6,""{-1/3 - (5*d)/3 + 2*d^2, -6 + 6*d}"""
"13,6,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"13,6,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"13,6,""{1/3 - (4*d)/3 + 2*d^2, -3 + 6*d}"""
"13,6,""{1/6 - (7*d)/6 + 2*d^2, -6 + 12*d}"""
"13,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"13,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"13,6,""{-d + 2*d^2, 2*d}"""
"13,6,""{-d + 2*d^2, -2 + 2*d}"""
"13,6,""{-d + 2*d^2, -3 + 4*d}"""
"13,6,""{-d + 2*d^2, -1 + 4*d}"""
"13,6,""{-d + 2*d^2, -4 + 6*d}"""
"13,6,""{-d + 2*d^2, -2 + 6*d}"""
"13,6,""{-d + 2*d^2, -5 + 8*d}"""
"13,6,""{-d + 2*d^2, -3 + 8*d}"""
"13,6,""{-d + 2*d^2, -7 + 12*d}"""
"13,6,""{-d + 2*d^2, -5 + 12*d}"""
"13,6,""{1 - d + 2*d^2, 2*d}"""
"13,6,""{-1/6 - (5*d)/6 + 2*d^2, -6 + 12*d}"""
"13,6,""{-1/3 - (2*d)/3 + 2*d^2, -3 + 6*d}"""
"13,6,""{-1/2 - d/2 + 2*d^2, -2 + 4*d}"""
"13,6,""{1/2 - d/2 + 2*d^2, 4*d}"""
"13,6,""{-5/3 - d/3 + 2*d^2, -6 + 6*d}"""
"13,6,""{1/3 - d/3 + 2*d^2, 6*d}"""
"13,6,""{1/6 - d/6 + 2*d^2, 12*d}"""
"13,6,""{-1/6 + d/6 + 2*d^2, 2 + 12*d}"""
"13,6,""{-7/3 + d/3 + 2*d^2, -6 + 6*d}"""
"13,6,""{-4/3 + d/3 + 2*d^2, -4 + 6*d}"""
"13,6,""{-1/3 + d/3 + 2*d^2, 2 + 6*d}"""
"13,6,""{-1/2 + d/2 + 2*d^2, 2 + 4*d}"""
"13,6,""{1/2 + d/2 + 2*d^2, 4*d}"""
"13,6,""{-5/3 + (2*d)/3 + 2*d^2, -5 + 6*d}"""
"13,6,""{1/3 + (2*d)/3 + 2*d^2, 1 + 6*d}"""
"13,6,""{1/6 + (5*d)/6 + 2*d^2, 4 + 12*d}"""
"13,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"13,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"13,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"13,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"13,6,""{d + 2*d^2, 2*d}"""
"13,6,""{d + 2*d^2, 2 + 2*d}"""
"13,6,""{d + 2*d^2, 1 + 4*d}"""
"13,6,""{d + 2*d^2, 3 + 4*d}"""
"13,6,""{d + 2*d^2, 2 + 6*d}"""
"13,6,""{d + 2*d^2, 4 + 6*d}"""
"13,6,""{d + 2*d^2, 3 + 8*d}"""
"13,6,""{d + 2*d^2, 5 + 8*d}"""
"13,6,""{d + 2*d^2, 5 + 12*d}"""
"13,6,""{d + 2*d^2, 7 + 12*d}"""
"13,6,""{1 + d + 2*d^2, 2*d}"""
"13,6,""{-1/6 + (7*d)/6 + 2*d^2, 8 + 12*d}"""
"13,6,""{-1/3 + (4*d)/3 + 2*d^2, -1 + 6*d}"""
"13,6,""{-1/3 + (4*d)/3 + 2*d^2, 5 + 6*d}"""
"13,6,""{-1/2 + (3*d)/2 + 2*d^2, 4 + 4*d}"""
"13,6,""{1/2 + (3*d)/2 + 2*d^2, 2 + 4*d}"""
"13,6,""{-2/3 + (5*d)/3 + 2*d^2, -2 + 6*d}"""
"13,6,""{1/3 + (5*d)/3 + 2*d^2, 4 + 6*d}"""
"13,6,""{1/6 + (11*d)/6 + 2*d^2, 10 + 12*d}"""
"13,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"13,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"13,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"14,6,""{2*d^2, -1 + 2*d}"""
"14,6,""{2*d^2, 1 + 2*d}"""
"14,6,""{2*d^2, -1 + 6*d}"""
"14,6,""{2*d^2, 1 + 6*d}"""
"14,6,""{-3 + 2*d^2, 3 + 2*d}"""
"14,6,""{-3 + 2*d^2, -5 + 4*d}"""
"14,6,""{-3 + 2*d^2, 5 + 4*d}"""
"14,6,""{-1 + 2*d^2, -1 + 2*d}"""
"14,6,""{-1 + 2*d^2, 1 + 2*d}"""
"14,6,""{-1 + 2*d^2, -3 + 4*d}"""
"14,6,""{-1 + 2*d^2, 3 + 4*d}"""
"14,6,""{1 + 2*d^2, -1 + 2*d}"""
"14,6,""{1 + 2*d^2, 1 + 2*d}"""
"14,6,""{-1/3 - (11*d)/6 + 2*d^2, 2 + 12*d}"""
"14,6,""{-2/3 - (5*d)/3 + 2*d^2, 2 + 6*d}"""
"14,6,""{1/3 - (5*d)/3 + 2*d^2, -4 + 6*d}"""
"14,6,""{-1 - (3*d)/2 + 2*d^2, 2 + 4*d}"""
"14,6,""{(-3*d)/2 + 2*d^2, 4*d}"""
"14,6,""{-1/3 - (4*d)/3 + 2*d^2, -5 + 6*d}"""
"14,6,""{-1/3 - (4*d)/3 + 2*d^2, 1 + 6*d}"""
"14,6,""{-2/3 - (7*d)/6 + 2*d^2, 4 + 12*d}"""
"14,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"14,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"14,6,""{-d + 2*d^2, 2*d}"""
"14,6,""{-d + 2*d^2, -2 + 2*d}"""
"14,6,""{-d + 2*d^2, -4 + 6*d}"""
"14,6,""{-d + 2*d^2, -2 + 6*d}"""
"14,6,""{1 - d + 2*d^2, 2*d}"""
"14,6,""{-4/3 - (5*d)/6 + 2*d^2, 8 + 12*d}"""
"14,6,""{-5/3 - (2*d)/3 + 2*d^2, 5 + 6*d}"""
"14,6,""{-5/3 - (2*d)/3 + 2*d^2, 9 + 12*d}"""
"14,6,""{1/3 - (2*d)/3 + 2*d^2, -1 + 6*d}"""
"14,6,""{-2 - d/2 + 2*d^2, 4 + 4*d}"""
"14,6,""{-1 - d/2 + 2*d^2, 2 + 4*d}"""
"14,6,""{-7/3 - d/3 + 2*d^2, 6 + 6*d}"""
"14,6,""{-4/3 - d/3 + 2*d^2, 4 + 6*d}"""
"14,6,""{-1/3 - d/3 + 2*d^2, -2 + 6*d}"""
"14,6,""{-5/3 - d/6 + 2*d^2, 10 + 12*d}"""
"14,6,""{-5/3 + d/3 + 2*d^2, 6 + 6*d}"""
"14,6,""{1/3 + d/3 + 2*d^2, 6*d}"""
"14,6,""{-2 + d/2 + 2*d^2, -4 + 4*d}"""
"14,6,""{-1 + d/2 + 2*d^2, -2 + 4*d}"""
"14,6,""{-1/3 + (2*d)/3 + 2*d^2, 3 + 6*d}"""
"14,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"14,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"14,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"14,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"14,6,""{d + 2*d^2, 2*d}"""
"14,6,""{d + 2*d^2, 2 + 2*d}"""
"14,6,""{d + 2*d^2, 2 + 6*d}"""
"14,6,""{d + 2*d^2, 4 + 6*d}"""
"14,6,""{1 + d + 2*d^2, 2*d}"""
"14,6,""{1/3 + (4*d)/3 + 2*d^2, 3 + 6*d}"""
"14,6,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"14,6,""{(3*d)/2 + 2*d^2, 4*d}"""
"14,6,""{-1/3 + (5*d)/3 + 2*d^2, 6 + 6*d}"""
"14,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"14,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"14,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"15,6,""{2*d^2, -1 + 2*d}"""
"15,6,""{2*d^2, 1 + 2*d}"""
"15,6,""{2*d^2, -1 + 4*d}"""
"15,6,""{2*d^2, 1 + 4*d}"""
"15,6,""{2*d^2, -1 + 8*d}"""
"15,6,""{2*d^2, 1 + 8*d}"""
"15,6,""{-3 + 2*d^2, 3 + 2*d}"""
"15,6,""{-1 + 2*d^2, -1 + 2*d}"""
"15,6,""{-1 + 2*d^2, 1 + 2*d}"""
"15,6,""{1 + 2*d^2, -1 + 2*d}"""
"15,6,""{1 + 2*d^2, 1 + 2*d}"""
"15,6,""{(-5*d)/3 + 2*d^2, 6*d}"""
"15,6,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"15,6,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"15,6,""{-1 - (4*d)/3 + 2*d^2, 3 + 6*d}"""
"15,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"15,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"15,6,""{-d + 2*d^2, 2*d}"""
"15,6,""{-d + 2*d^2, -2 + 2*d}"""
"15,6,""{-d + 2*d^2, -3 + 4*d}"""
"15,6,""{-d + 2*d^2, -1 + 4*d}"""
"15,6,""{-d + 2*d^2, -5 + 8*d}"""
"15,6,""{-d + 2*d^2, -3 + 8*d}"""
"15,6,""{1 - d + 2*d^2, 2*d}"""
"15,6,""{-1 - (2*d)/3 + 2*d^2, 3 + 6*d}"""
"15,6,""{-1/2 - d/2 + 2*d^2, -2 + 4*d}"""
"15,6,""{1/2 - d/2 + 2*d^2, 4*d}"""
"15,6,""{-3 - d/3 + 2*d^2, -8 + 6*d}"""
"15,6,""{-2 - d/3 + 2*d^2, 6 + 6*d}"""
"15,6,""{-1 - d/3 + 2*d^2, 4 + 6*d}"""
"15,6,""{-2 + d/3 + 2*d^2, -6 + 6*d}"""
"15,6,""{-1 + d/3 + 2*d^2, -4 + 6*d}"""
"15,6,""{-1/2 + d/2 + 2*d^2, 2 + 4*d}"""
"15,6,""{1/2 + d/2 + 2*d^2, 4*d}"""
"15,6,""{-1 + (2*d)/3 + 2*d^2, -3 + 6*d}"""
"15,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"15,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"15,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"15,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"15,6,""{d + 2*d^2, 2*d}"""
"15,6,""{d + 2*d^2, 2 + 2*d}"""
"15,6,""{d + 2*d^2, 1 + 4*d}"""
"15,6,""{d + 2*d^2, 3 + 4*d}"""
"15,6,""{d + 2*d^2, 3 + 8*d}"""
"15,6,""{1 + d + 2*d^2, 2*d}"""
"15,6,""{-1 + (4*d)/3 + 2*d^2, -3 + 6*d}"""
"15,6,""{-1/2 + (3*d)/2 + 2*d^2, 4 + 4*d}"""
"15,6,""{1/2 + (3*d)/2 + 2*d^2, 2 + 4*d}"""
"15,6,""{(5*d)/3 + 2*d^2, 6*d}"""
"15,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"15,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"15,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"16,6,""{2*d^2, -1 + 2*d}"""
"16,6,""{2*d^2, 1 + 2*d}"""
"16,6,""{2*d^2, -1 + 6*d}"""
"16,6,""{2*d^2, 1 + 6*d}"""
"16,6,""{2*d^2, -1 + 10*d}"""
"16,6,""{2*d^2, 1 + 10*d}"""
"16,6,""{-3 + 2*d^2, 3 + 2*d}"""
"16,6,""{-3 + 2*d^2, -5 + 4*d}"""
"16,6,""{-3 + 2*d^2, 5 + 4*d}"""
"16,6,""{-1 + 2*d^2, -1 + 2*d}"""
"16,6,""{-1 + 2*d^2, 1 + 2*d}"""
"16,6,""{-1 + 2*d^2, -3 + 4*d}"""
"16,6,""{-1 + 2*d^2, 3 + 4*d}"""
"16,6,""{1 + 2*d^2, -1 + 2*d}"""
"16,6,""{1 + 2*d^2, 1 + 2*d}"""
"16,6,""{-1/3 - (5*d)/3 + 2*d^2, -6 + 6*d}"""
"16,6,""{-1 - (3*d)/2 + 2*d^2, 2 + 4*d}"""
"16,6,""{(-3*d)/2 + 2*d^2, 4*d}"""
"16,6,""{1/3 - (4*d)/3 + 2*d^2, -3 + 6*d}"""
"16,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"16,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"16,6,""{-d + 2*d^2, 2*d}"""
"16,6,""{-d + 2*d^2, -2 + 2*d}"""
"16,6,""{-d + 2*d^2, -4 + 6*d}"""
"16,6,""{-d + 2*d^2, -2 + 6*d}"""
"16,6,""{-d + 2*d^2, -6 + 10*d}"""
"16,6,""{-d + 2*d^2, -4 + 10*d}"""
"16,6,""{1 - d + 2*d^2, 2*d}"""
"16,6,""{-7/3 - (2*d)/3 + 2*d^2, -15 + 12*d}"""
"16,6,""{-1/3 - (2*d)/3 + 2*d^2, -3 + 6*d}"""
"16,6,""{-2 - d/2 + 2*d^2, 4 + 4*d}"""
"16,6,""{-1 - d/2 + 2*d^2, 2 + 4*d}"""
"16,6,""{-5/3 - d/3 + 2*d^2, -6 + 6*d}"""
"16,6,""{1/3 - d/3 + 2*d^2, 6*d}"""
"16,6,""{-5/3 + d/6 + 2*d^2, -10 + 12*d}"""
"16,6,""{-7/3 + d/3 + 2*d^2, -6 + 6*d}"""
"16,6,""{-4/3 + d/3 + 2*d^2, -4 + 6*d}"""
"16,6,""{-1/3 + d/3 + 2*d^2, 2 + 6*d}"""
"16,6,""{-2 + d/2 + 2*d^2, -4 + 4*d}"""
"16,6,""{-1 + d/2 + 2*d^2, -2 + 4*d}"""
"16,6,""{-5/3 + (2*d)/3 + 2*d^2, -5 + 6*d}"""
"16,6,""{-5/3 + (2*d)/3 + 2*d^2, -9 + 12*d}"""
"16,6,""{1/3 + (2*d)/3 + 2*d^2, 1 + 6*d}"""
"16,6,""{-4/3 + (5*d)/6 + 2*d^2, -8 + 12*d}"""
"16,6,""{-5 + d + 2*d^2, 4 + 2*d}"""
"16,6,""{-3 + d + 2*d^2, -2 + 2*d}"""
"16,6,""{-2 + d + 2*d^2, -2 + 2*d}"""
"16,6,""{-1 + d + 2*d^2, 2 + 2*d}"""
"16,6,""{d + 2*d^2, 2*d}"""
"16,6,""{d + 2*d^2, 2 + 2*d}"""
"16,6,""{d + 2*d^2, 2 + 6*d}"""
"16,6,""{d + 2*d^2, 4 + 6*d}"""
"16,6,""{d + 2*d^2, 4 + 10*d}"""
"16,6,""{d + 2*d^2, 6 + 10*d}"""
"16,6,""{1 + d + 2*d^2, 2*d}"""
"16,6,""{-2/3 + (7*d)/6 + 2*d^2, -4 + 12*d}"""
"16,6,""{-1/3 + (4*d)/3 + 2*d^2, -1 + 6*d}"""
"16,6,""{-1/3 + (4*d)/3 + 2*d^2, 5 + 6*d}"""
"16,6,""{-1 + (3*d)/2 + 2*d^2, -2 + 4*d}"""
"16,6,""{(3*d)/2 + 2*d^2, 4*d}"""
"16,6,""{-2/3 + (5*d)/3 + 2*d^2, -2 + 6*d}"""
"16,6,""{1/3 + (5*d)/3 + 2*d^2, 4 + 6*d}"""
"16,6,""{-1/3 + (11*d)/6 + 2*d^2, -2 + 12*d}"""
"16,6,""{-1 + 2*d + 2*d^2, -1 + 2*d}"""
"16,6,""{-1 + 2*d + 2*d^2, 3 + 2*d}"""
"16,6,""{1 + 2*d + 2*d^2, 1 + 2*d}"""
"17,6,""{2*d^2, -1 + 2*d}"""
"17,6,""{2*d^2, 1 + 2*d}"""
"17,6,""{2*d^2, -1 + 4*d}"""
"17,6,""{2*d^2, 1 + 4*d}"""
"17,6,""{2*d^2, -1 + 6*d}"""
"17,6,""{2*d^2, 1 + 6*d}"""
"17,6,""{2*d^2, -1 + 8*d}"""
"17,6,""{2*d^2, 1 + 8*d}"""
"17,6,""{2*d^2, -1 + 10*d}"""
"17,6,""{2*d^2, 1 + 10*d}"""
"17,6,""{2*d^2, -1 + 12*d}"""
"17,6,""{2*d^2, 1 + 12*d}"""
"17,6,""{2*d^2, -1 + 14*d}"""
"17,6,""{2*d^2, 1 + 14*d}"""
"17,6,""{2*d^2, -1 + 16*d}"""
"17,6,""{2*d^2, 1 + 16*d}"""
"17,6,""{-3 + 2*d^2, 3 + 2*d}"""
"17,6,""{-1 + 2*d^2, -1 + 2*d}"""
"17,6,""{-1 + 2*d^2, 1 + 2*d}"""
"17,6,""{1 + 2*d^2, -1 + 2*d}"""
"17,6,""{1 + 2*d^2, 1 + 2*d}"""
"17,6,""{1/6 - (11*d)/6 + 2*d^2, -10 + 12*d}"""
"17,6,""{-2/3 - (5*d)/3 + 2*d^2, 2 + 6*d}"""
"17,6,""{1/3 - (5*d)/3 + 2*d^2, -4 + 6*d}"""
"17,6,""{-1/2 - (3*d)/2 + 2*d^2, -4 + 4*d}"""
"17,6,""{1/2 - (3*d)/2 + 2*d^2, -2 + 4*d}"""
"17,6,""{-1/3 - (4*d)/3 + 2*d^2, -5 + 6*d}"""
"17,6,""{-1/3 - (4*d)/3 + 2*d^2, 1 + 6*d}"""
"17,6,""{-1/6 - (7*d)/6 + 2*d^2, -8 + 12*d}"""
"17,6,""{-2 - d + 2*d^2, 2 + 2*d}"""
"17,6,""{-1 - d + 2*d^2, -2 + 2*d}"""
"17,6,""{-d + 2*d^2, 2*d}"""
"17,6,""{-d + 2*d^2, -2 + 2*d}"""
"17,6,""{-d + 2*d^2, -3 + 4*d}"""
"17,6,""{-d + 2*d^2, -1 + 4*d}"""
"17,6,""{-d + 2*d^2, -4 + 6*d}"""
"17,6,""{-d + 2*d^2, -2 + 6*d}"""
"17,6,""{-d + 2*d^2, -5 + 8*d}"""
"17,6,""{-d + 2*d^2, -3 + 8*d}"""
"17,6,""{-d + 2*d^2, -6 + 10*d}"""
"17,6,""{-d + 2*d^2, -4 + 10*d}"""
"17,6,""{-d + 2*d^2, -7 + 12*d}"""
"17,6,""{-d + 2*d^2, -5 + 12*d}"""
"17,6,""{-d + 2*d^2, -6 + 14*d}"""
"17,6,""{-d + 2*d^2, -7 + 16*d}"""
"17,6,""{1 - d + 2*d^2, 2*d}"""
"17,6,""{1/6 - (5*d)/6 + 2*d^2, -4 + 12*d}"""
"17,6,""{-5/3 - (2*d)/3 + 2*d^2, 5 + 6*d}"""
